date,id,name,odd,supername
2023-08-04 16:40:11.980424,1826982412,5.01% a více,400.0,SPRAVODLIVOSŤ
2023-08-04 16:40:11.980424,1826982414,Ano,1.55,SMER-SD
2023-08-04 16:40:11.980424,1826982415,Ne,2.26,SMER-SD
2023-08-04 16:40:11.980424,1826982417,Ano,2.85,Progresívne Slovensko
2023-08-04 16:40:11.980424,1826982416,Ne,1.36,Progresívne Slovensko
2023-08-04 16:40:11.980424,1826982419,Ano,14.0,HLAS-SD
2023-08-04 16:40:11.980424,1826982418,Ne,1.0,HLAS-SD
2023-08-04 16:40:11.980424,1826982421,Ano,88.0,Republika
2023-08-04 16:40:11.980424,1826982420,Ne,1.0,Republika
2023-08-04 16:40:11.980424,1826982422,Ano,111.0,OĽANO A PRIATELIA
2023-08-04 16:40:11.980424,1826982423,Ne,1.0,OĽANO A PRIATELIA
2023-08-04 16:40:11.980424,1826982424,Ano,450.0,SaS
2023-08-04 16:40:11.980424,1826982425,Ne,1.0,SaS
2023-08-04 16:40:11.980424,1826982426,Ano,450.0,Sme rodina
2023-08-04 16:40:11.980424,1826982427,Ne,1.0,Sme rodina
2023-08-04 16:40:11.980424,1826982428,Ano,700.0,KDH
2023-08-04 16:40:11.980424,1826982429,Ne,1.0,KDH
2023-08-04 16:40:11.980424,1826982430,Ano,800.0,SNS
2023-08-04 16:40:11.980424,1826982431,Ne,1.0,SNS
2023-08-04 16:40:11.980424,1826982434,Ano,2000.0,Demokrati
2023-08-04 16:40:11.980424,1826982435,Ne,1.0,Demokrati
2023-08-04 16:40:11.980424,1826982433,Ano,2500.0,Aliancia
2023-08-04 16:40:11.980424,1826982432,Ne,1.0,Aliancia
2023-08-04 16:40:11.980424,1826982437,Ano,3000.0,ĽS Naše Slovensko
2023-08-04 16:40:11.980424,1826982436,Ne,1.0,ĽS Naše Slovensko
2023-08-04 16:40:11.980424,1826982438,Ano,3000.0,"Modrí, Most – Híd"
2023-08-04 16:40:11.980424,1826982439,Ne,1.0,"Modrí, Most – Híd"
2023-08-04 16:40:11.980424,1826982441,Ano,4500.0,KSS
2023-08-04 16:40:11.980424,1826982440,Ne,1.0,KSS
2023-08-04 16:40:11.980424,1826982443,Ano,4500.0,Piráti
2023-08-04 16:40:11.980424,1826982442,Ne,1.0,Piráti
2023-08-04 16:40:11.980424,1826982445,Ano,5000.0,SDKÚ-DS
2023-08-04 16:40:11.980424,1826982444,Ne,1.0,SDKÚ-DS
2023-08-04 16:40:11.980424,1826982446,Ano,5000.0,SPRAVODLIVOSŤ
2023-08-04 16:40:11.980424,1826982447,Ne,1.0,SPRAVODLIVOSŤ
2023-08-04 16:40:11.980424,1826982449,Ano,1.05,SMER-SD
2023-08-04 16:40:11.980424,1826982448,Ne,7.43,SMER-SD
2023-08-04 16:40:11.980424,1826982451,Ano,1.24,Progresívne Slovensko
2023-08-04 16:40:11.980424,1826982450,Ne,3.57,Progresívne Slovensko
2023-08-04 16:40:11.980424,1826982452,Ano,4.0,HLAS-SD
2023-08-04 16:40:11.980424,1826982453,Ne,1.19,HLAS-SD
2023-08-04 16:40:11.980424,1826982454,Ano,14.0,Republika
2023-08-04 16:40:11.980424,1826982455,Ne,1.0,Republika
2023-08-04 16:40:11.980424,1826982457,Ano,19.0,OĽANO A PRIATELIA
2023-08-04 16:40:11.980424,1826982456,Ne,1.0,OĽANO A PRIATELIA
2023-08-04 16:40:11.980424,1826982458,Ano,130.0,SaS
2023-08-04 16:40:11.980424,1826982459,Ne,1.0,SaS
2023-08-04 16:40:11.980424,1826982460,Ano,130.0,Sme rodina
2023-08-04 16:40:11.980424,1826982461,Ne,1.0,Sme rodina
2023-08-04 16:40:11.980424,1826982462,Ano,250.0,KDH
2023-08-04 16:40:11.980424,1826982463,Ne,1.0,KDH
2023-08-04 16:40:11.980424,1826982465,Ano,300.0,SNS
2023-08-04 16:40:11.980424,1826982464,Ne,1.0,SNS
2023-08-04 16:40:11.980424,1826982468,Ano,900.0,Demokrati
2023-08-04 16:40:11.980424,1826982469,Ne,1.0,Demokrati
2023-08-04 16:40:11.980424,1826982467,Ano,1100.0,Aliancia
2023-08-04 16:40:11.980424,1826982466,Ne,1.0,Aliancia
2023-08-04 16:40:11.980424,1826982471,Ano,1400.0,ĽS Naše Slovensko
2023-08-04 16:40:11.980424,1826982470,Ne,1.0,ĽS Naše Slovensko
2023-08-04 16:40:11.980424,1826982472,Ano,1400.0,"Modrí, Most – Híd"
2023-08-04 16:40:11.980424,1826982473,Ne,1.0,"Modrí, Most – Híd"
2023-08-04 16:40:11.980424,1826982475,Ano,2100.0,KSS
2023-08-04 16:40:11.980424,1826982474,Ne,1.0,KSS
2023-08-04 16:40:11.980424,1826982476,Ano,2100.0,Piráti
2023-08-04 16:40:11.980424,1826982477,Ne,1.0,Piráti
2023-08-04 16:40:11.980424,1826982479,Ano,2400.0,SDKÚ-DS
2023-08-04 16:40:11.980424,1826982478,Ne,1.0,SDKÚ-DS
2023-08-04 16:40:11.980424,1826982480,Ano,2400.0,SPRAVODLIVOSŤ
2023-08-04 16:40:11.980424,1826982481,Ne,1.0,SPRAVODLIVOSŤ
2023-08-04 16:40:11.980424,1826982483,Ano,1.01,SMER-SD
2023-08-04 16:40:11.980424,1826982482,Ne,11.0,SMER-SD
2023-08-04 16:40:11.980424,1826982484,Ano,1.03,Progresívne Slovensko
2023-08-04 16:40:11.980424,1826982485,Ne,8.61,Progresívne Slovensko
2023-08-04 16:40:11.980424,1826982486,Ano,1.22,HLAS-SD
2023-08-04 16:40:11.980424,1826982487,Ne,3.74,HLAS-SD
2023-08-04 16:40:11.980424,1826982488,Ano,4.8,Republika
2023-08-04 16:40:11.980424,1826982489,Ne,1.14,Republika
2023-08-04 16:40:11.980424,1826982490,Ano,6.5,OĽANO A PRIATELIA
2023-08-04 16:40:11.980424,1826982491,Ne,1.07,OĽANO A PRIATELIA
2023-08-04 16:40:11.980424,1826982492,Ano,25.0,SaS
2023-08-04 16:40:11.980424,1826982493,Ne,1.0,SaS
2023-08-04 16:40:11.980424,1826982494,Ano,30.0,Sme rodina
2023-08-04 16:40:11.980424,1826982495,Ne,1.0,Sme rodina
2023-08-04 16:40:11.980424,1826982496,Ano,40.0,KDH
2023-08-04 16:40:11.980424,1826982497,Ne,1.0,KDH
2023-08-04 16:40:11.980424,1826982498,Ano,40.0,SNS
2023-08-04 16:40:11.980424,1826982499,Ne,1.0,SNS
2023-08-04 16:40:11.980424,1826982503,Ano,400.0,Demokrati
2023-08-04 16:40:11.980424,1826982502,Ne,1.0,Demokrati
2023-08-04 16:40:11.980424,1826982500,Ano,500.0,Aliancia
2023-08-04 16:40:11.980424,1826982501,Ne,1.0,Aliancia
2023-08-04 16:40:11.980424,1826982505,Ano,600.0,ĽS Naše Slovensko
2023-08-04 16:40:11.980424,1826982504,Ne,1.0,ĽS Naše Slovensko
2023-08-04 16:40:11.980424,1826982506,Ano,600.0,"Modrí, Most – Híd"
2023-08-04 16:40:11.980424,1826982507,Ne,1.0,"Modrí, Most – Híd"
2023-08-04 16:40:11.980424,1826982508,Ano,950.0,KSS
2023-08-04 16:40:11.980424,1826982509,Ne,1.0,KSS
2023-08-04 16:40:11.980424,1826982510,Ano,950.0,Piráti
2023-08-04 16:40:11.980424,1826982511,Ne,1.0,Piráti
2023-08-04 16:40:11.980424,1826982513,Ano,1000.0,SDKÚ-DS
2023-08-04 16:40:11.980424,1826982512,Ne,1.0,SDKÚ-DS
2023-08-04 16:40:11.980424,1826982515,Ano,1000.0,SPRAVODLIVOSŤ
2023-08-04 16:40:11.980424,1826982514,Ne,1.0,SPRAVODLIVOSŤ
