date,id,name,odd,supername
2023-08-04 16:40:11.980424,1826982379,Méně než 5.01%,1.07,Aliancia
2023-08-04 16:40:11.980424,1826982378,5.01% a více,6.56,Aliancia
2023-08-04 16:40:11.980424,1826982380,Méně než 5.01%,1.1,Demokrati
2023-08-04 16:40:11.980424,1826982381,5.01% a více,5.62,Demokrati
2023-08-04 16:40:11.980424,1826982382,Méně než 5.01%,14.0,HLAS-SD
2023-08-04 16:40:11.980424,1826982383,5.01% a více,1.0,HLAS-SD
2023-08-04 16:40:11.980424,1826982385,Méně než 5.01%,2.11,KDH
2023-08-04 16:40:11.980424,1826982384,5.01% a více,1.63,KDH
2023-08-04 16:40:11.980424,1826982387,Méně než 5.01%,1.0,KSS
2023-08-04 16:40:11.980424,1826982386,5.01% a více,200.0,KSS
2023-08-04 16:40:11.980424,1826982388,Méně než 5.01%,1.0,ĽS Naše Slovensko
2023-08-04 16:40:11.980424,1826982389,5.01% a více,30.0,ĽS Naše Slovensko
2023-08-04 16:40:11.980424,1826982390,Méně než 5.01%,1.0,"Modrí, Most – Híd"
2023-08-04 16:40:11.980424,1826982391,5.01% a více,30.0,"Modrí, Most – Híd"
2023-08-04 16:40:11.980424,1826982392,Méně než 5.01%,5.0,OĽANO A PRIATELIA
2023-08-04 16:40:11.980424,1826982393,5.01% a více,1.13,OĽANO A PRIATELIA
2023-08-04 16:40:11.980424,1826982394,Méně než 7.01%,1.75,OĽANO A PRIATELIA
2023-08-04 16:40:11.980424,1826982395,7.01% a více,1.94,OĽANO A PRIATELIA
2023-08-04 16:40:11.980424,1826982397,Méně než 5.01%,1.0,Piráti
2023-08-04 16:40:11.980424,1826982396,5.01% a více,200.0,Piráti
2023-08-04 16:40:11.980424,1826982399,Méně než 5.01%,75.0,Progresívne Slovensko
2023-08-04 16:40:11.980424,1826982398,5.01% a více,1.0,Progresívne Slovensko
2023-08-04 16:40:11.980424,1826982400,Méně než 5.01%,5.9,Republika
2023-08-04 16:40:11.980424,1826982401,5.01% a více,1.09,Republika
2023-08-04 16:40:11.980424,1826982403,Méně než 5.01%,2.38,SaS
2023-08-04 16:40:11.980424,1826982402,5.01% a více,1.5,SaS
2023-08-04 16:40:11.980424,1826982405,Méně než 5.01%,1.0,SDKÚ-DS
2023-08-04 16:40:11.980424,1826982404,5.01% a více,400.0,SDKÚ-DS
2023-08-04 16:40:11.980424,1826982407,Méně než 5.01%,2.22,Sme rodina
2023-08-04 16:40:11.980424,1826982406,5.01% a více,1.57,Sme rodina
2023-08-04 16:40:11.980424,1826982408,Méně než 5.01%,275.0,SMER-SD
2023-08-04 16:40:11.980424,1826982409,5.01% a více,1.0,SMER-SD
2023-08-04 16:40:11.980424,1826982411,Méně než 5.01%,2.11,SNS
2023-08-04 16:40:11.980424,1826982410,5.01% a více,1.63,SNS
2023-08-04 16:40:11.980424,1826982413,Méně než 5.01%,1.0,SPRAVODLIVOSŤ
