date,match_id,match_name,match_url,competition_id,competion_name,sport_id,sport_name,date_closed
2024-12-08 20:04:50.273195,5777625,Maximální denní teplota ve stupních C,/kurzy/zapas/spolecenske-sazky-maximalni-denni-teplota-ve-stupnich-c/5777625,119546,Počasí v ČR 2024,191,Společenské sázky,2024-06-30T21:50:00.000Z
2024-06-30 20:04:06.576449,6024172,Nejvyšší naměřená teplota v ČR 1.7.-1.9.2024,/kurzy/zapas/spolecenske-sazky-nejvyssi-namerena-teplota-v-cr-17-192024/6024172,119546,Počasí v ČR 2024,191,Společenské sázky,2024-06-30T21:00:00.000Z
2024-06-30 20:04:06.576449,6024168,Nejvyšší naměřená teplota v SR 1.7.-1.9.2024,/kurzy/zapas/spolecenske-sazky-nejvyssi-namerena-teplota-v-sr-17-192024/6024168,120194,Počasí v SR 2024,191,Společenské sázky,2024-06-30T21:00:00.000Z
2024-11-05 12:06:55.587203,5722740,Ceny komodit a devizové kurzy,/kurzy/zapas/spolecenske-sazky-ceny-komodit-a-devizove-kurzy/5722740,95954,Ceny komodit a devizové kurzy,3631,Finance,2024-06-30T12:00:00.000Z
2024-06-09 04:04:35.156923,6064369,Rakousko – volby do EP (celkově),/kurzy/zapas/spolecenske-sazky-rakousko-volby-do-ep-celkove/6064369,120188,Volby do Evropského parlamentu 2024,3633,Politika,2024-06-09T05:00:00.000Z
2024-06-09 04:04:35.156923,6064368,Polsko – volby do EP (celkově),/kurzy/zapas/spolecenske-sazky-polsko-volby-do-ep-celkove/6064368,120188,Volby do Evropského parlamentu 2024,3633,Politika,2024-06-09T05:00:00.000Z
2024-06-07 04:05:13.873800,6064367,Česko – volby do EP (celkově),/kurzy/zapas/spolecenske-sazky-cesko-volby-do-ep-celkove/6064367,120188,Volby do Evropského parlamentu 2024,3633,Politika,2024-06-07T12:00:00.000Z
2024-06-08 04:04:19.887013,6064366,Slovensko – volby do EP (celkově) ,/kurzy/zapas/spolecenske-sazky-slovensko-volby-do-ep-celkove/6064366,120188,Volby do Evropského parlamentu 2024,3633,Politika,2024-06-08T05:00:00.000Z
2024-07-04 04:04:22.361753,6137739,Velká Británie - všeobecné volby 2024,/kurzy/zapas/spolecenske-sazky-velka-britanie-vseobecne-volby-2024/6137739,126069,Velká Británie - všeobecné volby 2024,3633,Politika,2024-07-04T06:00:00.000Z
2024-11-05 12:06:55.587203,4908797,Prezidentské volby USA 2024,/kurzy/zapas/spolecenske-sazky-prezidentske-volby-usa-2024/4908797,101839,USA - Prezidentské volby USA 2024,3633,Politika,2024-11-05T11:00:00.000Z
2024-07-04 12:05:56.969041,5414487,Nathan’s Hotdog Eating Contest 2024,/kurzy/zapas/spolecenske-sazky-nathans-hotdog-eating-contest-2024/5414487,110987,Nathan’s Hotdog Eating Contest 2024,3711,Zábava,2024-07-04T14:00:00.000Z
2024-07-31 04:04:00.011996,6267905,Nový stálý hlavní trenér reprezentace Anglie po Southgatovi,/kurzy/zapas/spolecenske-sazky-novy-staly-hlavni-trener-reprezentace-anglie-po-southgatovi/6267905,129287,Nový stálý hlavní trenér reprezentace Anglie po Southgatovi,3634,Sportovní sázky,2024-07-17T10:00:00.000Z
2024-08-02 12:05:58.580002,5859602,Nominant Demokratické strany,/kurzy/zapas/spolecenske-sazky-nominant-demokraticke-strany/5859602,101839,USA - Prezidentské volby USA 2024,3633,Politika,2024-07-28T16:00:00.000Z
2024-08-03 20:04:13.952589,6282367,Viceprezident - nominant Demokratické strany,/kurzy/zapas/spolecenske-sazky-viceprezident-nominant-demokraticke-strany/6282367,101839,USA - Prezidentské volby USA 2024,3633,Politika,2024-07-24T17:00:00.000Z
2024-09-01 04:05:49.757899,5800363,Německo - Zemské volby v Sasku (Listenstimmen),/kurzy/zapas/spolecenske-sazky-nemecko-zemske-volby-v-sasku-listenstimmen/5800363,120189,Německo - Zemské volby v Sasku,3633,Politika,2024-09-01T05:00:00.000Z
2024-09-01 04:05:49.757899,5800362,Německo - Zemské volby v Durynsku (Landesstimmen),/kurzy/zapas/spolecenske-sazky-nemecko-zemske-volby-v-durynsku-landesstimmen/5800362,120168,Německo - Zemské volby v Durynsku,3633,Politika,2024-09-01T05:00:00.000Z
2024-09-23 20:04:36.426930,5722741,Ekonomické události v roce 2024,/kurzy/zapas/spolecenske-sazky-ekonomicke-udalosti-v-roce-2024/5722741,118489,Ekonomické sázky na rok 2024,3631,Finance,2024-09-03T21:00:00.000Z
2024-10-18 04:05:41.289318,5800364,Politické sázky na rok 2024,/kurzy/zapas/spolecenske-sazky-politicke-sazky-na-rok-2024/5800364,120173,Politické sázky na rok 2024,3633,Politika,2024-09-01T21:00:00.000Z
2024-09-29 04:04:58.631833,5800366,Rakousko - parlamentní volby 2024,/kurzy/zapas/spolecenske-sazky-rakousko-parlamentni-volby-2024/5800366,120166,Rakousko - parlamentní volby 2024,3633,Politika,2024-09-29T05:00:00.000Z
2024-12-14 12:06:39.137023,6012923,StarDance XIII,/kurzy/zapas/spolecenske-sazky-stardance-xiii/6012923,124146,StarDance XIII,3711,Zábava,2024-10-12T18:00:00.000Z
2024-10-29 04:05:24.921800,6406830,Následující lídr Konzervativní strany po R.Sunakovi,/kurzy/zapas/spolecenske-sazky-nasledujici-lidr-konzervativni-strany-po-rsunakovi/6406830,132026,Velká Británie - lídr Konzervativní strany,3633,Politika,2024-09-09T09:00:00.000Z
2024-09-20 04:05:17.503999,6407081,Česko - krajské volby 2024,/kurzy/zapas/spolecenske-sazky-cesko-krajske-volby-2024/6407081,132046,Česko - krajské volby 2024,3633,Politika,2024-09-20T12:00:00.000Z
2024-09-22 04:04:58.640193,5800361,Německo - Zemské volby v Braniborsku (Zweitstimmen),/kurzy/zapas/spolecenske-sazky-nemecko-zemske-volby-v-braniborsku-zweitstimmen/5800361,120190,Německo - Zemské volby v Braniborsku,3633,Politika,2024-09-22T05:00:00.000Z
2024-09-24 12:06:38.595070,5800352,Zlatý míč 2024,/kurzy/zapas/spolecenske-sazky-zlaty-mic-2024/5800352,120174,Zlatý míč 2024,3634,Sportovní sázky,2024-10-28T19:00:00.000Z
2024-09-20 04:05:17.503999,6407451,Senátní volby obvod 77 Vsetín - celkově,/kurzy/zapas/spolecenske-sazky-senatni-volby-obvod-77-vsetin-celkove/6407451,132027,Česko - volby do Senátu 2024,3633,Politika,2024-09-20T12:00:00.000Z
2024-09-20 04:05:17.503999,6407450,Senátní volby obvod 74 Karviná - celkově,/kurzy/zapas/spolecenske-sazky-senatni-volby-obvod-74-karvina-celkove/6407450,132027,Česko - volby do Senátu 2024,3633,Politika,2024-09-20T12:00:00.000Z
2024-09-20 04:05:17.503999,6407449,Senátní volby obvod 71 Ostrava-město - celkově,/kurzy/zapas/spolecenske-sazky-senatni-volby-obvod-71-ostrava-mesto-celkove/6407449,132027,Česko - volby do Senátu 2024,3633,Politika,2024-09-20T12:00:00.000Z
2024-09-20 04:05:17.503999,6407447,Senátní volby obvod 65 Šumperk - celkově,/kurzy/zapas/spolecenske-sazky-senatni-volby-obvod-65-sumperk-celkove/6407447,132027,Česko - volby do Senátu 2024,3633,Politika,2024-09-20T12:00:00.000Z
2024-09-20 04:05:17.503999,6407446,Senátní volby obvod 62 Prostějov - celkově,/kurzy/zapas/spolecenske-sazky-senatni-volby-obvod-62-prostejov-celkove/6407446,132027,Česko - volby do Senátu 2024,3633,Politika,2024-09-20T12:00:00.000Z
