date,Ano,Ne
2022-11-27,300.0,1.0
2022-11-28,300.0,1.0
2022-11-29,300.0,1.0
2022-11-30,300.0,1.0
2022-12-01,300.0,1.0
2022-12-02,300.0,1.0
2022-12-05,300.0,1.0
2022-12-06,300.0,1.0
2022-12-07,300.0,1.0
2022-12-08,300.0,1.0
2022-12-09,300.0,1.0
2022-12-10,300.0,1.0
2022-12-11,300.0,1.0
2022-12-12,300.0,1.0
2022-12-13,300.0,1.0
2022-12-14,300.0,1.0
2022-12-15,300.0,1.0
2022-12-16,300.0,1.0
2022-12-17,300.0,1.0
2022-12-18,300.0,1.0
2022-12-19,300.0,1.0
2022-12-20,300.0,1.0
2022-12-21,300.0,1.0
2022-12-22,300.0,1.0
2022-12-23,300.0,1.0
2022-12-24,300.0,1.0
2022-12-25,300.0,1.0
2022-12-26,300.0,1.0
2022-12-27,300.0,1.0
