date,Bassett Angela,Chau Hong,Condon Kerry,Curtis Jamie Lee,Hsu Stephanie
2023-01-31,1.35,20.0,3.1,10.0,25.0
2023-02-01,1.35,20.0,3.1,10.0,25.0
2023-02-02,1.35,20.0,3.1,10.0,25.0
2023-02-04,1.35,20.0,3.1,10.0,25.0
2023-02-07,1.35,20.0,3.1,10.0,25.0
2023-02-08,1.35,20.0,3.1,10.0,25.0
2023-02-09,1.35,20.0,3.1,10.0,25.0
2023-02-10,1.35,20.0,3.1,10.0,25.0
2023-02-14,1.3,20.0,3.4,10.0,25.0
2023-02-15,1.275,20.0,3.5,10.5,25.0
2023-02-17,1.25,20.0,3.6,11.0,25.0
2023-02-19,1.25,20.0,3.6,11.0,25.0
2023-02-20,1.25,20.0,3.6,15.0,25.0
2023-02-21,1.25,20.0,3.6,15.0,25.0
2023-02-22,1.25,20.0,3.6,15.0,25.0
2023-02-23,1.25,20.0,3.6,15.0,25.0
2023-02-24,1.25,20.0,3.6,15.0,25.0
2023-02-25,1.25,20.0,3.6,15.0,25.0
2023-02-27,2.0,20.0,4.5,2.4,30.0
2023-03-01,2.0,20.0,4.5,2.4,30.0
2023-03-02,2.1,60.0,3.3,2.5,50.0
2023-03-03,2.1,60.0,3.3,2.5,50.0
2023-03-04,2.1,60.0,3.3,2.5,50.0
2023-03-06,2.1,70.0,3.3,2.5,60.0
2023-03-08,2.1,70.0,3.0,2.8,60.0
2023-03-12,2.15,70.0,3.2,2.8,40.0
