date,Berger Edward,Field Todd,Kwan Daniel/Scheinert Daniel,McDonagh Martin,Park Chan-wook,Prince-Bythewood Gina
2023-01-31,10.0,9.0,2.0,2.2,30.0,20.0
2023-02-01,10.0,9.0,2.0,2.2,30.0,20.0
2023-02-02,10.0,9.0,2.0,2.2,30.0,20.0
2023-02-04,10.0,9.0,1.95,2.2,30.0,20.0
2023-02-07,10.0,9.0,1.95,2.2,30.0,20.0
2023-02-08,10.0,9.0,1.95,2.2,30.0,20.0
2023-02-09,10.0,9.0,1.95,2.2,30.0,20.0
2023-02-10,10.0,9.0,1.95,2.2,30.0,20.0
2023-02-14,10.0,7.0,1.75,2.6,50.0,25.0
