date,Bašta Jaroslav,Fischer Pavel
2023-01-08,2.16,1.6
2023-01-09,1.8,1.8799999999999997
2023-01-10,2.08,1.65
2023-01-11,2.1,1.6374999999999997
2023-01-12,2.16,1.6
