date,Ano,Ne
2022-06-13,1.0,20.0
2022-06-14,1.0,20.0
2022-06-15,1.0,20.0
2022-06-16,1.0,20.0
2022-06-17,1.0,20.0
2022-06-18,1.0,20.0
2022-06-19,1.0,20.0
2022-06-20,1.0,20.0
2022-06-21,1.0,20.0
2022-06-22,1.0,20.0
2022-06-23,1.0,20.0
2022-06-24,1.0,20.0
2022-06-25,1.0,20.0
2022-06-26,1.0,20.0
2022-06-27,1.0,20.0
2022-06-28,1.0,20.0
2022-06-29,1.0,20.0
2022-06-30,1.0,20.0
2022-07-01,1.0,20.0
2022-07-02,1.0,20.0
2022-07-03,1.0,20.0
2022-07-04,1.0,20.0
2022-07-05,1.0,20.0
2022-07-06,1.0,20.0
2022-07-07,1.0,20.0
2022-07-08,1.0,20.0
2022-07-09,1.005,17.5
2022-07-10,1.01,13.5
2022-07-11,1.01,12.0
2022-07-12,1.01,12.0
2022-07-13,1.01,12.0
2022-07-14,1.01,12.0
2022-07-15,1.01,12.0
2022-07-16,1.01,12.0
2022-07-17,1.01,12.0
2022-07-18,1.01,12.0
2022-07-19,1.01,12.0
2022-07-20,1.01,12.0
2022-07-21,1.01,12.0
2022-07-22,1.01,12.0
2022-07-23,1.01,12.0
2022-07-24,1.01,12.0
2022-07-25,1.01,12.0
2022-07-26,1.01,12.0
2022-07-27,1.01,12.0
2022-07-28,1.01,12.0
2022-07-29,1.01,12.0
2022-07-30,1.01,12.0
2022-07-31,1.01,12.0
2022-08-01,1.01,12.0
2022-08-02,1.01,12.0
2022-08-03,1.01,12.0
2022-08-04,1.01,12.0
2022-08-05,1.01,12.0
2022-08-06,1.01,12.0
2022-08-07,1.01,12.0
2022-08-08,1.01,12.0
2022-08-09,1.01,12.0
2022-08-10,1.01,12.0
2022-08-11,1.01,12.0
2022-08-12,1.01,12.0
2022-08-13,1.01,12.0
2022-08-14,1.01,12.0
2022-08-15,1.01,12.0
2022-08-16,1.01,12.0
2022-08-17,1.01,12.0
2022-08-18,1.01,12.0
2022-08-19,1.01,12.0
2022-08-20,1.01,12.0
2022-08-21,1.01,12.0
2022-08-22,1.01,12.0
2022-08-23,1.0150000000000001,11.0
2022-08-24,1.02,10.0
2022-08-25,1.02,10.0
2022-08-26,1.02,10.0
2022-08-27,1.02,10.0
2022-08-28,1.02,10.0
2022-08-29,1.02,10.0
2022-08-30,1.02,10.0
2022-08-31,1.02,10.0
2022-09-01,1.02,10.0
2022-09-02,1.02,10.0
2022-09-03,1.02,10.0
2022-09-04,1.02,10.0
2022-09-05,1.02,10.0
2022-09-06,1.02,10.0
2022-09-07,1.02,10.0
2022-09-08,1.02,10.0
2022-09-09,1.02,10.0
2022-09-10,1.01,10.5
2022-09-11,1.01,10.5
2022-09-12,1.01,10.5
2022-09-13,1.01,10.5
2022-09-14,1.01,10.5
2022-09-15,1.01,10.5
2022-09-16,1.01,10.75
2022-09-17,1.01,11.0
2022-09-18,1.01,11.0
2022-09-19,1.01,11.0
