date,Centerpartiet,Kristdemokraterna,Liberalerna,Miljöpartiet,Moderaterna,Socialdemokraterna,Sverigedemokraterna,Vänsterpartiet
2022-04-29,300.0,500.0,1000.0,800.0,10.0,1.01,15.0,250.0
2022-04-30,300.0,500.0,1000.0,800.0,10.0,1.01,15.0,250.0
2022-05-01,300.0,500.0,1000.0,800.0,10.0,1.01,15.0,250.0
2022-05-02,300.0,500.0,1000.0,800.0,10.0,1.01,15.0,250.0
2022-05-03,300.0,500.0,1000.0,800.0,10.0,1.01,15.0,250.0
2022-05-04,300.0,500.0,1000.0,800.0,10.0,1.01,15.0,250.0
2022-05-05,300.0,500.0,1000.0,800.0,10.0,1.01,15.0,250.0
2022-05-06,300.0,500.0,1000.0,800.0,10.0,1.01,15.0,250.0
2022-05-07,300.0,500.0,1000.0,800.0,10.0,1.01,15.0,250.0
2022-05-08,300.0,500.0,1000.0,800.0,10.0,1.01,15.0,250.0
2022-05-09,300.0,500.0,1000.0,800.0,10.0,1.01,15.0,250.0
2022-05-10,300.0,500.0,1000.0,800.0,10.0,1.01,15.0,250.0
2022-05-11,300.0,500.0,1000.0,800.0,10.0,1.01,15.0,250.0
2022-05-12,300.0,500.0,1000.0,800.0,10.0,1.01,15.0,250.0
2022-05-13,300.0,500.0,1000.0,800.0,9.5,1.0150000000000001,14.5,250.0
2022-05-14,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-05-15,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-05-16,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-05-17,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-05-18,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-05-19,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-05-20,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-05-21,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-05-22,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-05-23,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-05-24,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-05-25,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-05-26,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-05-27,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-05-28,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-05-29,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-05-30,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-05-31,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-06-01,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-06-02,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-06-03,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-06-04,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-06-05,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-06-06,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-06-07,300.0,500.0,1000.0,800.0,9.0,1.02,14.0,250.0
2022-06-08,300.0,500.0,1000.0,800.0,9.5,1.0150000000000001,15.5,250.0
2022-06-09,300.0,500.0,1000.0,800.0,10.0,1.01,17.0,250.0
2022-06-10,300.0,500.0,1000.0,800.0,10.0,1.01,17.0,250.0
2022-06-11,300.0,500.0,1000.0,800.0,10.0,1.01,17.0,250.0
2022-06-12,300.0,500.0,1000.0,800.0,10.0,1.01,17.0,250.0
2022-06-13,300.0,500.0,1000.0,800.0,10.0,1.01,17.0,250.0
2022-06-14,300.0,500.0,1000.0,800.0,10.0,1.01,17.0,250.0
2022-06-15,300.0,500.0,1000.0,800.0,10.0,1.01,17.0,250.0
2022-06-16,300.0,500.0,1000.0,800.0,10.0,1.01,17.0,250.0
2022-06-17,300.0,500.0,1000.0,800.0,10.0,1.01,17.0,250.0
2022-06-18,300.0,500.0,1000.0,800.0,10.0,1.01,17.0,250.0
2022-06-19,300.0,500.0,1000.0,800.0,10.0,1.01,17.0,250.0
2022-06-20,300.0,500.0,1000.0,800.0,10.0,1.01,17.0,250.0
2022-06-21,300.0,500.0,1000.0,800.0,10.0,1.01,17.0,250.0
2022-06-22,300.0,500.0,1000.0,800.0,10.0,1.01,17.0,250.0
2022-06-23,300.0,500.0,1000.0,800.0,10.0,1.01,17.0,250.0
2022-06-24,300.0,500.0,1000.0,800.0,10.0,1.01,17.0,250.0
