date,Butler Austin,Farrell Colin,Fraser Brendan,McCormack Daryl,Mescal Paul,Nighy Bill
2023-01-31,4.5,1.5,3.5,50.0,40.0,30.0
2023-02-01,4.5,1.5,3.5,50.0,40.0,30.0
2023-02-02,4.5,1.5,3.5,50.0,40.0,30.0
2023-02-04,4.5,1.5,3.5,50.0,40.0,30.0
2023-02-07,5.0,1.5,3.2,50.0,40.0,30.0
2023-02-08,5.0,1.5,3.2,50.0,40.0,30.0
2023-02-09,5.0,1.5,3.2,50.0,40.0,30.0
2023-02-10,5.0,1.5,3.2,50.0,40.0,30.0
2023-02-14,10.0,1.5,3.5,100.0,40.0,6.0
2023-02-15,10.0,1.5,3.5,100.0,40.0,6.0
2023-02-17,10.0,1.45,3.4,100.0,35.0,7.0
2023-02-19,10.0,1.45,3.3,100.0,30.0,8.0
