date,Ano,Ne
2022-12-14,250.0,1.0
2022-12-15,250.0,1.0
2022-12-16,250.0,1.0
2022-12-17,250.0,1.0
2022-12-18,250.0,1.0
2022-12-19,250.0,1.0
2022-12-20,250.0,1.0
2022-12-21,250.0,1.0
2022-12-22,250.0,1.0
2022-12-23,250.0,1.0
2022-12-24,250.0,1.0
2022-12-25,250.0,1.0
2022-12-26,250.0,1.0
2022-12-27,250.0,1.0
2022-12-28,250.0,1.0
2022-12-29,250.0,1.0
2022-12-30,250.0,1.0
2022-12-31,250.0,1.0
2023-01-01,250.0,1.0
2023-01-02,250.0,1.0
2023-01-03,250.0,1.0
2023-01-04,250.0,1.0
2023-01-05,250.0,1.0
2023-01-06,400.0,1.0
2023-01-07,400.0,1.0
2023-01-08,400.0,1.0
2023-01-09,600.0,1.0
2023-01-10,600.0,1.0
2023-01-11,600.0,1.0
2023-01-12,600.0,1.0
