date,24.55 a více,Méně než 24.55
2022-09-15,1.84,1.84
2022-09-16,1.84,1.84
2022-09-17,1.84,1.84
2022-09-18,1.84,1.84
2022-09-19,1.84,1.84
2022-09-20,1.84,1.84
2022-09-21,1.84,1.84
2022-09-22,1.795,1.8900000000000001
2022-09-23,1.7,2.01
2022-09-24,1.7,2.01
2022-09-25,1.7,2.01
2022-09-26,1.7,2.01
2022-09-27,1.7,2.01
2022-09-28,1.7,2.01
2022-09-29,1.7,2.01
2022-09-30,1.7,2.01
2022-10-01,1.7,2.01
2022-10-02,1.7,2.01
2022-10-03,1.7,2.01
2022-10-04,1.7,2.01
2022-10-05,1.7,2.01
2022-10-06,1.75,1.94
2022-10-07,1.7650000000000001,1.92
2022-10-08,1.84,1.84
2022-10-09,1.84,1.84
2022-10-10,1.84,1.84
2022-10-11,1.84,1.84
2022-10-12,1.84,1.84
2022-10-13,1.84,1.84
2022-10-14,1.84,1.84
2022-10-15,1.84,1.84
2022-10-16,1.84,1.84
2022-10-17,1.84,1.84
2022-10-18,1.84,1.84
2022-10-19,1.84,1.84
2022-10-20,1.84,1.84
2022-10-21,1.84,1.84
2022-10-22,1.84,1.84
2022-10-23,1.84,1.84
2022-10-31,1.88,1.8
2022-11-01,1.91,1.775
