date,Džunko Jaroslav,Karabin Jozef,Klíma Miloslav,Kováčová Monika,Lasky Štefan,Lešňák Milan,Novotný Viliam,Polaček Jaroslav
2022-10-22,500.0,70.0,4.5,13.0,25.0,7.5,100.0,1.23
2022-10-23,500.0,70.0,6.0,14.0,25.0,4.25,100.0,1.35
