date,Ano,Ne
2022-11-10,3.5,1.25
2022-11-11,3.5,1.25
2022-11-12,3.5,1.25
2022-11-13,3.5,1.25
2022-11-14,3.5,1.25
2022-11-15,3.5,1.25
2022-11-16,3.5,1.25
2022-11-17,3.55,1.24
2022-11-18,3.55,1.24
2022-11-19,3.55,1.24
2022-11-20,3.55,1.24
2022-11-21,3.55,1.24
2022-11-22,3.55,1.24
2022-11-23,3.55,1.24
2022-11-24,3.575,1.24
2022-11-25,3.55,1.245
2022-11-26,3.5,1.25
2022-11-27,3.5,1.25
2022-11-28,3.1,1.31
2022-11-29,3.1,1.31
2022-11-30,3.1,1.31
2022-12-01,3.1,1.31
2022-12-02,3.1,1.31
2022-12-05,3.05,1.32
2022-12-06,3.05,1.32
2022-12-07,3.05,1.32
2022-12-08,3.05,1.32
2022-12-09,3.325,1.28
2022-12-10,3.7,1.22
2022-12-11,3.7,1.22
2022-12-12,3.7,1.22
2022-12-13,3.7,1.22
2022-12-14,3.7,1.22
2022-12-15,3.7,1.22
2022-12-16,3.7,1.22
2022-12-17,3.8,1.21
2022-12-18,3.8,1.21
2022-12-19,3.8,1.21
2022-12-20,3.8,1.21
2022-12-21,3.9,1.2
2022-12-22,4.0,1.19
2022-12-23,4.0,1.19
2022-12-24,4.0,1.19
2022-12-25,4.0,1.19
2022-12-26,4.0,1.19
2022-12-27,4.0,1.19
2022-12-28,4.0,1.19
2022-12-29,4.0,1.19
2022-12-30,4.0,1.19
2022-12-31,4.2,1.18
2023-01-01,4.2,1.18
2023-01-02,4.15,1.185
2023-01-03,4.1,1.19
2023-01-04,4.1,1.19
2023-01-05,4.1,1.19
2023-01-06,4.5,1.17
2023-01-07,4.5,1.17
2023-01-08,4.5,1.17
2023-01-09,3.3600000000000003,1.286
2023-01-10,3.25,1.3
2023-01-11,3.3,1.2950000000000002
2023-01-12,3.533333333333333,1.2633333333333334
