date,24.55 a více,Méně než 24.55
2022-11-04,1.8999999999999997,1.78
2022-11-05,2.01,1.7
2022-11-06,2.01,1.7
2022-11-07,2.195,1.6
2022-11-08,2.38,1.5
2022-11-09,2.38,1.5
2022-11-10,2.38,1.5
2022-11-11,2.38,1.5
2022-11-12,2.38,1.5
2022-11-13,2.38,1.5
2022-11-14,2.38,1.5
2022-11-15,2.38,1.5
2022-11-16,2.38,1.5
2022-11-17,2.38,1.5
2022-11-18,2.38,1.5
2022-11-19,2.38,1.5
2022-11-20,2.3,1.53
2022-11-21,2.3,1.53
2022-11-22,2.3,1.53
2022-11-23,2.3,1.53
2022-11-24,2.3,1.53
2022-11-25,2.3,1.53
2022-11-26,2.3,1.53
2022-11-27,2.3,1.53
2022-11-28,2.3,1.53
2022-11-29,2.3,1.53
2022-11-30,2.3,1.53
2022-12-01,2.3,1.53
2022-12-02,2.3,1.53
2022-12-05,2.16,1.6
2022-12-06,2.31,1.53
2022-12-07,2.31,1.53
2022-12-08,2.285,1.54
2022-12-09,2.26,1.55
2022-12-10,2.26,1.55
2022-12-11,2.26,1.55
2022-12-12,2.26,1.55
2022-12-13,2.38,1.5
2022-12-16,2.38,1.5
