date,Folwarczny Stanislav,Matušek Zdeněk
2022-09-26,2.76,1.38
2022-09-27,2.825,1.365
2022-09-28,2.89,1.35
2022-09-29,3.125,1.3050000000000002
2022-09-30,3.27,1.28
