date,Butler Austin,Farrell Colin,Fraser Brendan,Mescal Paul,Nighy Bill
2023-01-31,3.5,3.3,1.65,30.0,40.0
2023-02-01,3.5,3.3,1.65,30.0,40.0
2023-02-02,3.5,3.3,1.65,30.0,40.0
2023-02-04,3.7,3.3,1.6,30.0,40.0
2023-02-07,3.7,3.3,1.6,30.0,40.0
2023-02-08,3.7,3.3,1.6,30.0,40.0
2023-02-09,3.7,3.3,1.6,30.0,40.0
2023-02-10,3.7,3.3,1.6,30.0,40.0
2023-02-14,3.7,3.5,1.55,30.0,40.0
2023-02-15,3.7,3.5,1.55,30.0,40.0
2023-02-17,3.7,3.6,1.5,30.0,40.0
2023-02-19,3.7,3.6,1.5,30.0,40.0
2023-02-20,2.2,6.0,1.75,35.0,40.0
2023-02-21,2.025,6.5,1.85,35.0,45.0
2023-02-22,1.975,6.75,1.875,35.0,50.0
2023-02-23,1.95,7.0,1.9,35.0,50.0
