date,Blaško Erik,Hattas Marek,Kršiak Igor,Obertáš Pavol,Solčanský Dalimír,Štefek Štefan
2022-10-22,1000.0,2.15,2.4,5.0,1000.0,6.0
2022-10-23,1000.0,2.15,2.4,5.0,1000.0,6.0
