date,Ano,Ne
2022-11-27,2.08,1.65
2022-11-28,1.84,1.84
2022-11-29,1.84,1.84
2022-11-30,1.84,1.84
2022-12-01,1.84,1.84
2022-12-02,1.84,1.84
2022-12-05,1.82,1.86
2022-12-06,1.82,1.86
2022-12-07,1.82,1.86
2022-12-08,1.82,1.86
2022-12-09,1.685,2.06
2022-12-10,1.5,2.38
2022-12-11,1.5,2.38
2022-12-12,1.5,2.38
2022-12-13,1.5,2.38
2022-12-14,1.5,2.38
2022-12-15,1.5,2.38
2022-12-16,1.5,2.38
2022-12-17,1.5,2.38
2022-12-18,1.45,2.52
2022-12-19,1.4,2.68
2022-12-20,1.45,2.52
2022-12-21,1.54,2.315
2022-12-22,1.63,2.11
2022-12-23,1.61,2.15
2022-12-24,1.61,2.15
2022-12-25,1.61,2.15
2022-12-26,1.62,2.13
2022-12-27,1.62,2.13
2022-12-28,1.62,2.13
2022-12-29,1.62,2.13
2022-12-30,1.62,2.13
2022-12-31,1.62,2.13
2023-01-01,1.62,2.13
2023-01-02,1.6600000000000001,2.065
2023-01-03,1.7,2.0
2023-01-04,1.7,2.0
2023-01-05,1.7,2.0
2023-01-06,2.05,1.67
2023-01-07,2.1,1.64
2023-01-08,2.1,1.64
2023-01-09,2.9,1.35
