date,Ano,Ne
2022-11-27,5.0,1.13
2022-11-28,7.0,1.06
2022-11-29,7.5,1.05
2022-11-30,8.25,1.0350000000000001
2022-12-01,8.5,1.03
2022-12-02,8.5,1.03
2022-12-05,10.0,1.01
2022-12-06,10.0,1.01
2022-12-07,10.0,1.01
2022-12-08,10.0,1.01
2022-12-09,10.0,1.01
2022-12-10,10.0,1.01
2022-12-11,10.0,1.01
2022-12-12,10.0,1.01
2022-12-13,10.0,1.01
2022-12-14,10.0,1.01
2022-12-15,10.0,1.01
2022-12-16,10.0,1.01
2022-12-17,10.0,1.01
2022-12-18,10.0,1.01
2022-12-19,15.0,1.0
2022-12-20,15.0,1.0
2022-12-21,16.5,1.0
2022-12-22,18.0,1.0
2022-12-23,18.0,1.0
2022-12-24,18.0,1.0
2022-12-25,18.0,1.0
2022-12-26,18.0,1.0
2022-12-27,18.0,1.0
2022-12-28,18.0,1.0
2022-12-29,18.0,1.0
2022-12-30,18.0,1.0
2022-12-31,18.0,1.0
2023-01-01,18.0,1.0
2023-01-02,18.0,1.0
2023-01-03,18.0,1.0
2023-01-04,18.0,1.0
2023-01-05,18.0,1.0
2023-01-06,25.0,1.0
2023-01-07,25.0,1.0
2023-01-08,35.0,1.0
2023-01-09,40.0,1.0
2023-01-10,32.0,1.0
2023-01-11,32.0,1.0
