date,20987.5 a více,Méně než 20987.5
2022-09-15,1.84,1.84
2022-09-16,1.8900000000000001,1.795
2022-09-17,1.94,1.75
2022-09-18,1.94,1.75
2022-09-19,1.94,1.75
2022-09-20,1.94,1.75
2022-09-21,1.94,1.75
2022-09-22,1.94,1.75
2022-09-23,1.94,1.75
2022-09-24,2.08,1.65
2022-09-25,2.08,1.65
2022-09-26,2.08,1.65
2022-09-27,2.08,1.65
2022-09-28,2.08,1.65
2022-09-29,2.08,1.65
2022-09-30,2.08,1.65
2022-10-01,2.08,1.65
2022-10-02,2.08,1.65
2022-10-03,2.08,1.65
2022-10-04,2.08,1.65
2022-10-05,1.84,1.84
2022-10-06,1.84,1.84
2022-10-07,1.84,1.84
2022-10-08,1.84,1.84
2022-10-09,1.84,1.84
2022-10-10,1.84,1.84
2022-10-11,1.96,1.745
2022-10-12,2.16,1.6
2022-10-13,2.16,1.6
