date,Austrálie,Francie,Itálie,Nizozemsko,Norsko,Německo,Polsko,Portugalsko,Ukrajina,Velká Británie,Česko,Řecko,Španělsko,Švédsko
2022-04-05,40.0,65.0,4.0,35.0,35.0,100.0,22.0,50.0,2.1,15.0,151.0,20.0,25.0,6.0
2022-04-06,40.0,65.0,4.0,35.0,35.0,100.0,22.0,50.0,2.1,15.0,151.0,20.0,25.0,6.0
2022-04-07,40.0,65.0,4.0,35.0,35.0,100.0,22.0,50.0,2.1,15.0,151.0,20.0,25.0,5.0
2022-04-08,40.0,65.0,4.0,35.0,35.0,100.0,22.0,50.0,2.1,15.0,151.0,20.0,25.0,5.0
2022-04-09,40.0,65.0,4.3,35.0,35.0,100.0,22.0,50.0,2.0,15.0,151.0,20.0,25.0,5.5
2022-04-10,40.0,65.0,4.3,35.0,35.0,100.0,22.0,50.0,1.95,15.0,151.0,20.0,25.0,5.5
2022-04-11,40.0,65.0,4.3,35.0,35.0,100.0,22.0,50.0,1.9,15.0,151.0,20.0,25.0,5.5
2022-04-12,40.0,65.0,4.3,35.0,35.0,100.0,22.0,50.0,1.9,15.0,151.0,20.0,25.0,5.5
2022-04-13,40.0,65.0,4.3,35.0,35.0,100.0,22.0,50.0,1.9,15.0,151.0,20.0,25.0,5.5
2022-04-14,40.0,65.0,4.3,35.0,35.0,100.0,22.0,50.0,1.9,15.0,151.0,20.0,25.0,5.5
2022-04-15,40.0,65.0,4.3,35.0,35.0,100.0,22.0,50.0,1.9,15.0,151.0,20.0,25.0,5.5
2022-04-16,40.0,65.0,4.4,35.0,35.0,100.0,22.0,50.0,1.85,15.0,151.0,20.0,25.0,5.7
2022-04-17,40.0,65.0,4.4,35.0,35.0,100.0,22.0,50.0,1.85,15.0,151.0,20.0,25.0,5.7
2022-04-18,40.0,65.0,4.4,35.0,35.0,100.0,22.0,50.0,1.85,15.0,151.0,20.0,25.0,5.7
2022-04-19,40.0,65.0,4.4,35.0,35.0,100.0,22.0,50.0,1.85,15.0,151.0,20.0,25.0,5.7
2022-04-20,40.0,65.0,4.4,35.0,35.0,100.0,22.0,50.0,1.85,15.0,151.0,20.0,25.0,5.7
2022-04-21,40.0,65.0,4.4,35.0,35.0,100.0,22.0,50.0,1.85,15.0,151.0,20.0,25.0,5.7
2022-04-22,40.0,65.0,4.4,35.0,35.0,100.0,22.0,50.0,1.85,15.0,151.0,20.0,25.0,5.7
2022-04-23,40.0,65.0,4.300000000000001,35.0,35.0,100.0,22.0,50.0,1.85,14.0,151.0,25.0,22.5,5.85
2022-04-24,40.0,65.0,4.2,35.0,35.0,100.0,22.0,50.0,1.85,13.0,151.0,30.0,20.0,6.0
2022-04-25,40.0,65.0,4.2,35.0,35.0,100.0,23.5,50.0,1.85,12.5,151.0,30.0,20.0,6.25
2022-04-26,40.0,65.0,4.2,35.0,30.0,100.0,25.0,50.0,1.85,12.0,151.0,30.0,20.0,6.5
2022-04-27,40.0,65.0,4.2,35.0,30.0,100.0,25.0,50.0,1.85,12.0,151.0,30.0,20.0,6.5
2022-04-28,60.0,85.0,4.5,45.0,35.0,100.0,30.0,80.0,1.7,12.0,151.0,35.0,16.0,7.5
2022-04-29,60.0,85.0,4.5,45.0,35.0,100.0,30.0,80.0,1.7,12.0,151.0,35.0,16.0,7.5
2022-04-30,60.0,85.0,4.5,45.0,35.0,100.0,30.0,80.0,1.7,12.0,151.0,35.0,16.0,7.5
2022-05-01,60.0,85.0,4.5,45.0,35.0,100.0,30.0,80.0,1.7,12.0,151.0,35.0,16.0,7.5
