date,Semrád Bořek,Töpfer Tomáš
2022-09-26,3.415,1.275
2022-09-27,3.185,1.3
2022-09-28,3.375,1.2650000000000001
2022-09-29,3.605,1.24
2022-09-30,3.94,1.2
