date,104.5 a více,Méně než 104.5
2022-07-12,2.16,1.6
2022-07-13,2.21,1.5750000000000002
2022-07-14,2.4699999999999998,1.475
2022-07-15,2.68,1.4
2022-07-16,2.68,1.4
2022-07-17,2.68,1.4
2022-07-18,2.5300000000000002,1.45
2022-07-19,1.84,1.84
2022-07-20,1.84,1.84
2022-07-21,1.9249999999999998,1.77
2022-07-22,2.01,1.7
2022-07-23,2.01,1.7
2022-07-24,2.01,1.7
2022-07-25,2.31,1.5350000000000001
2022-07-26,2.46,1.47
2022-07-27,2.46,1.47
2022-07-28,2.2,1.6099999999999999
2022-07-29,1.8900000000000001,1.795
2022-07-30,1.84,1.84
2022-07-31,1.84,1.84
2022-08-01,1.96,1.745
2022-08-02,2.08,1.65
2022-08-03,2.12,1.625
2022-08-04,2.915,1.35
2022-08-05,3.315,1.275
2022-08-06,3.48,1.25
