date,Ano,Ne
2022-11-27,75.0,1.0
2022-11-28,80.0,1.0
2022-11-29,80.0,1.0
2022-11-30,80.0,1.0
2022-12-01,80.0,1.0
2022-12-02,80.0,1.0
2022-12-05,80.0,1.0
2022-12-06,80.0,1.0
2022-12-07,80.0,1.0
2022-12-08,80.0,1.0
2022-12-09,80.0,1.0
2022-12-10,80.0,1.0
2022-12-11,80.0,1.0
2022-12-12,80.0,1.0
2022-12-13,80.0,1.0
2022-12-14,80.0,1.0
2022-12-15,80.0,1.0
2022-12-16,80.0,1.0
2022-12-17,80.0,1.0
2022-12-18,85.0,1.0
2022-12-19,100.0,1.0
2022-12-20,100.0,1.0
2022-12-21,100.0,1.0
2022-12-22,100.0,1.0
2022-12-23,100.0,1.0
2022-12-24,100.0,1.0
2022-12-25,100.0,1.0
2022-12-26,100.0,1.0
2022-12-27,100.0,1.0
