date,Blanchett Cate,Davis Viola,De Armas Ana,Deadwyler Danielle,Thompson Emma,Yeoh Michelle
2023-01-31,1.35,20.0,22.0,12.0,25.0,3.4
2023-02-01,1.27,20.0,22.0,12.0,25.0,3.75
2023-02-02,1.2,20.0,22.0,12.0,25.0,3.8
2023-02-04,1.25,20.0,25.0,12.0,30.0,4.0
2023-02-07,1.25,20.0,25.0,12.0,30.0,4.0
2023-02-08,1.25,20.0,25.0,12.0,30.0,4.0
2023-02-09,1.25,20.0,25.0,12.0,30.0,4.0
2023-02-10,1.25,20.0,25.0,12.0,30.0,4.0
2023-02-14,1.2,25.0,30.0,15.0,35.0,4.0
2023-02-15,1.2,25.0,30.0,15.0,35.0,4.0
2023-02-17,1.1749999999999998,25.0,30.0,17.5,35.0,4.2
2023-02-19,1.15,25.0,30.0,20.0,35.0,4.4
