date,Andrejko Ján,Bednárová Zuzana,Benes Artúr,Benčík Patrik,Bobáková Renáta,Eštočák Martin,Hagyari Pavel,Kubica Jozef,Kurta Marek,Micheľ Ľuboš,Oľha František,Štovka Ján
2022-10-22,90.0,100.0,25.0,250.0,1000.0,850.0,1.21,700.0,700.0,15.0,3.5,1000.0
2022-10-23,90.0,100.0,25.0,250.0,1000.0,850.0,1.19,700.0,700.0,16.0,3.7,1000.0
