date,20789.1 a více,Méně než 20789.1
2022-07-12,1.84,1.84
2022-07-13,1.8900000000000001,1.795
2022-07-14,1.94,1.75
2022-07-15,1.8900000000000001,1.795
2022-07-16,1.84,1.84
2022-07-17,1.5,2.38
2022-07-18,1.6,2.195
2022-07-19,1.7,2.01
2022-07-20,1.475,2.45
2022-07-21,1.45,2.52
2022-07-22,1.45,2.52
2022-07-23,1.65,2.08
2022-07-24,1.65,2.08
2022-07-25,1.65,2.08
2022-07-26,1.865,1.865
2022-07-27,1.98,1.725
2022-07-28,1.62,2.135
2022-07-29,1.51,2.37
2022-07-30,1.45,2.52
2022-07-31,1.375,2.785
2022-08-01,1.35,2.89
2022-08-02,1.35,2.89
2022-08-03,1.35,2.89
2022-08-04,1.35,2.89
2022-08-05,1.35,2.89
2022-08-06,1.35,2.89
2022-08-07,1.35,2.89
2022-08-08,1.35,2.89
2022-08-09,1.35,2.89
2022-08-10,1.35,2.89
2022-08-11,1.35,2.89
2022-08-12,1.35,2.89
2022-08-13,1.35,2.89
