date,Ano,Ne
2023-02-21,1.67,2.05
2023-02-22,1.67,2.05
2023-02-23,1.67,2.05
2023-02-24,1.67,2.05
2023-02-25,1.67,2.05
2023-02-26,1.67,2.05
2023-02-27,1.56,2.285
2023-03-01,1.55,2.26
2023-03-02,1.55,2.26
2023-03-03,1.55,2.26
2023-03-04,1.55,2.26
2023-03-05,1.55,2.26
2023-03-06,1.55,2.26
2023-03-08,1.45,2.52
2023-03-12,1.5,2.38
2023-03-14,1.5,2.38
2023-03-16,1.5,2.38
2023-03-17,1.5,2.38
2023-03-18,1.5,2.38
2023-03-20,1.5,2.38
2023-03-21,1.5,2.38
2023-03-22,1.5,2.38
2023-03-23,1.5,2.38
2023-03-24,1.5,2.38
2023-03-26,1.45,2.52
2023-03-27,1.45,2.52
2023-03-28,1.45,2.52
