date,Vítková Jaromíra,Žirovnický Antonín
2022-09-26,1.05,7.484999999999999
2022-09-27,1.06,7.0
2022-09-28,1.06,7.0
2022-09-29,1.0550000000000002,7.215
2022-09-30,1.04,7.97
