date,Ano,Ne
2022-11-27,1.04,8.02
2022-11-28,1.02,9.0
2022-11-29,1.0150000000000001,9.5
2022-11-30,1.01,10.0
2022-12-01,1.01,10.0
2022-12-02,1.01,10.0
2022-12-05,1.01,10.0
2022-12-06,1.01,10.0
2022-12-07,1.01,10.0
2022-12-08,1.01,10.0
2022-12-09,1.01,10.0
2022-12-10,1.01,10.0
2022-12-11,1.01,10.0
2022-12-12,1.01,10.0
2022-12-13,1.01,10.0
2022-12-14,1.01,10.0
2022-12-15,1.01,10.0
2022-12-16,1.01,10.0
2022-12-17,1.01,10.0
2022-12-18,1.01,10.0
2022-12-19,1.0,15.0
2022-12-20,1.0,20.0
2022-12-21,1.0,20.0
