date,40.4 a více,Méně než 40.4
2022-06-01,5.62,1.1
2022-06-02,5.62,1.1
2022-06-03,5.62,1.1
2022-06-04,5.62,1.1
2022-06-05,5.62,1.1
2022-06-06,5.62,1.1
2022-06-07,5.62,1.1
2022-06-08,5.62,1.1
2022-06-09,5.62,1.1
2022-06-10,5.385,1.11
2022-06-11,5.15,1.12
2022-06-12,5.15,1.12
2022-06-13,5.15,1.12
2022-06-14,5.15,1.12
2022-06-15,5.15,1.12
2022-06-16,5.15,1.12
2022-06-17,5.15,1.12
2022-06-18,5.15,1.12
2022-06-19,4.96,1.13
2022-06-20,3.565,1.24
2022-06-21,3.65,1.23
2022-06-22,3.65,1.23
2022-06-23,3.165,1.315
2022-06-24,2.68,1.4
2022-06-25,2.785,1.375
2022-06-26,2.89,1.35
2022-06-27,3.27,1.28
