date,56.01% a více,Méně než 56.01%
2023-01-15,1.9666666666666666,1.7366666666666666
2023-01-16,2.2516666666666665,1.5633333333333332
2023-01-17,2.3466666666666667,1.5133333333333334
2023-01-18,2.27,1.5499999999999998
2023-01-19,2.026666666666667,1.6833333333333333
2023-01-20,1.75,1.94
2023-01-21,1.6333333333333335,2.1133333333333333
2023-01-22,1.6,2.17
2023-01-23,1.4816666666666667,2.4766666666666666
2023-01-24,1.3800000000000001,2.7600000000000002
2023-01-25,1.376,2.776
2023-01-26,1.384,2.7439999999999998
2023-01-27,1.4,2.68
