date,Elvis,Na západní frontě klid,Tár,Víly z Inisherinu,"Všechno, všude, najednou"
2023-01-31,30.0,10.0,15.0,1.55,2.5
2023-02-01,30.0,10.0,15.0,1.55,2.5
2023-02-02,30.0,10.0,15.0,1.55,2.5
