date,Bardy Adam,Cibulková Dominika,Koleník Ján,Kovačič Michal,Kubovčíková Šebová Zuzana,Mórová Diana,Svarinská Kristína,Végh Attila
2022-03-29,7.0,50.0,1.22,130.0,15.0,4.5,6.5,17.0
2022-03-30,7.0,50.0,1.22,130.0,15.0,4.5,6.5,17.0
2022-03-31,7.0,50.0,1.22,130.0,15.0,4.25,6.5,17.0
2022-04-01,7.0,50.0,1.22,130.0,15.0,4.0,6.5,17.0
2022-04-02,7.0,50.0,1.22,130.0,15.0,4.0,6.5,17.0
2022-04-03,7.0,50.0,1.22,130.0,15.0,4.0,6.5,17.0
2022-04-04,7.0,60.0,1.27,,16.0,4.0,8.0,18.0
2022-04-05,7.0,60.0,1.27,,16.0,4.0,8.0,18.0
2022-04-06,7.0,60.0,1.27,,16.0,4.0,8.0,18.0
2022-04-07,7.0,60.0,1.27,,16.0,4.0,8.0,18.0
2022-04-08,7.0,60.0,1.26,,16.0,4.2,8.0,18.0
