date,64.45% a více,Méně než 64.45%
2022-12-05,2.26,1.55
2022-12-06,2.16,1.6
2022-12-07,2.16,1.6
2022-12-08,2.27,1.55
2022-12-09,2.38,1.5
2022-12-10,2.16,1.6
2022-12-11,2.12,1.625
2022-12-12,2.08,1.65
2022-12-13,2.08,1.65
2022-12-14,2.0,1.7
2022-12-15,1.88,1.8
2022-12-16,2.0,1.7
2022-12-17,2.0,1.7
2022-12-18,2.0,1.7
2022-12-19,2.0,1.7
2022-12-20,1.94,1.75
2022-12-21,1.87,1.815
2022-12-22,1.8,1.88
2022-12-23,1.8,1.88
2022-12-24,1.8,1.88
2022-12-25,1.8,1.88
2022-12-26,1.84,1.84
2022-12-27,1.84,1.84
2022-12-28,1.84,1.84
2022-12-29,1.84,1.84
2022-12-30,1.84,1.84
2022-12-31,1.84,1.84
2023-01-01,1.84,1.84
2023-01-02,1.87,1.81
2023-01-03,1.94,1.75
2023-01-04,1.94,1.75
2023-01-05,1.94,1.75
2023-01-06,1.94,1.75
2023-01-07,2.0,1.7
2023-01-08,2.0,1.7
2023-01-09,1.8560000000000003,1.8240000000000003
