date,Ano,Ne
2022-11-27,6.75,1.07
2022-11-28,6.0,1.09
2022-11-29,6.0,1.09
2022-11-30,6.0,1.09
2022-12-01,6.0,1.09
2022-12-02,6.0,1.09
2022-12-05,5.3,1.11
2022-12-06,5.35,1.11
2022-12-07,5.4,1.11
2022-12-08,5.4,1.11
2022-12-09,4.45,1.17
2022-12-10,3.5,1.25
2022-12-11,3.5,1.25
2022-12-12,3.5,1.25
2022-12-13,3.5,1.25
2022-12-14,3.5,1.25
2022-12-15,3.5,1.25
2022-12-16,3.5,1.25
2022-12-17,3.25,1.28
2022-12-18,3.0,1.33
2022-12-19,2.9,1.35
2022-12-20,3.5,1.25
2022-12-21,4.075,1.19
2022-12-22,4.45,1.16
2022-12-23,4.45,1.16
2022-12-24,4.45,1.16
2022-12-25,4.475,1.16
2022-12-26,4.6,1.15
2022-12-27,4.6,1.15
2022-12-28,4.6,1.15
2022-12-29,4.6,1.15
2022-12-30,4.6,1.15
