date,Badenoch Kemi,Braverman Suella,Hunt Jeremy,Javid Sajid,Mordaunt Penny,Raab Dominic,Starmer Keir,Sunak Rishi,Truss Liz,Tugendhat Tom,Wallace Ben,Zahawi Nadhim
2022-07-10,21.5,22.0,12.5,19.0,4.775,25.0,55.0,2.45,5.875,12.0,67.5,18.0
2022-07-11,15.0,26.0,14.0,20.0,3.95,27.0,65.0,2.4000000000000004,5.0,13.0,75.0,25.0
2022-07-12,13.0,40.0,34.0,40.0,2.8499999999999996,38.5,77.5,2.6,5.375,11.75,90.0,38.5
2022-07-13,15.0,47.5,40.0,,1.9500000000000002,,77.5,3.0999999999999996,4.475,24.0,,50.0
2022-07-14,17.0,50.0,,,1.55,,80.0,3.9,4.75,25.0,,
2022-07-15,21.0,,,,1.8,,125.0,3.9,3.0,82.5,,
2022-07-16,23.0,,,,1.95,,130.0,2.8,4.0,42.5,,
2022-07-17,14.75,,,,2.125,,130.0,2.25,5.625,52.5,,
2022-07-18,9.0,,,,2.65,,130.0,2.1,4.0,75.0,,
2022-07-19,,,,,6.5,,175.0,2.15,1.95,,,
2022-07-20,,,,,6.5,,197.5,2.25,1.725,,,
2022-07-21,,,,,,,250.0,2.425,1.47,,,
2022-07-22,,,,,,,250.0,2.9000000000000004,1.3450000000000002,,,
2022-07-23,,,,,,,250.0,3.0250000000000004,1.315,,,
2022-07-24,,,,,,,250.0,2.975,1.33,,,
2022-07-25,,,,,,,250.0,2.85,1.36,,,
2022-07-26,,,,,,,275.0,3.55,1.24,,,
2022-07-27,,,,,,,275.0,4.75,1.1400000000000001,,,
2022-07-28,,,,,,,275.0,5.475,1.105,,,
2022-07-29,,,,,,,285.0,7.4,1.065,,,
2022-07-30,,,,,,,300.0,7.5,1.05,,,
2022-07-31,,,,,,,300.0,8.5,1.04,,,
2022-08-01,,,,,,,300.0,8.5,1.04,,,
2022-08-02,,,,,,,300.0,5.35,1.13,,,
2022-08-03,,,,,,,300.0,7.0,1.05,,,
2022-08-04,,,,,,,300.0,8.5,1.03,,,
2022-08-05,,,,,,,300.0,8.5,1.03,,,
2022-08-06,,,,,,,300.0,8.5,1.03,,,
2022-08-07,,,,,,,300.0,8.5,1.03,,,
2022-08-08,,,,,,,300.0,8.5,1.03,,,
2022-08-09,,,,,,,300.0,8.5,1.03,,,
2022-08-10,,,,,,,300.0,8.5,1.03,,,
2022-08-11,,,,,,,325.0,8.5,1.03,,,
2022-08-12,,,,,,,350.0,9.0,1.03,,,
2022-08-13,,,,,,,350.0,9.0,1.03,,,
2022-08-14,,,,,,,350.0,9.0,1.03,,,
2022-08-15,,,,,,,350.0,9.0,1.03,,,
2022-08-16,,,,,,,350.0,9.0,1.03,,,
2022-08-17,,,,,,,350.0,9.0,1.03,,,
2022-08-18,,,,,,,350.0,9.0,1.03,,,
2022-08-19,,,,,,,500.0,12.75,1.01,,,
2022-08-20,,,,,,,500.0,13.0,1.01,,,
2022-08-21,,,,,,,500.0,13.0,1.01,,,
2022-08-22,,,,,,,500.0,12.0,1.0150000000000001,,,
2022-08-23,,,,,,,500.0,11.0,1.02,,,
2022-08-24,,,,,,,500.0,11.0,1.02,,,
2022-08-25,,,,,,,500.0,11.0,1.02,,,
2022-08-26,,,,,,,500.0,11.0,1.02,,,
2022-08-27,,,,,,,500.0,13.0,1.01,,,
2022-08-28,,,,,,,500.0,13.0,1.01,,,
