date,Procházka Bohuslav,Strnad Jaromír
2022-09-26,1.9,1.79
2022-09-27,1.8599999999999999,1.82
2022-09-28,1.8599999999999999,1.82
2022-09-29,1.815,1.87
2022-09-30,1.75,1.94
