date,Ano,Ne
2022-11-27,1.3,3.15
2022-11-28,1.5,2.38
2022-11-29,1.525,2.32
2022-11-30,1.55,2.26
2022-12-01,1.55,2.26
2022-12-02,1.55,2.26
2022-12-05,1.78,1.9
2022-12-06,1.78,1.9
2022-12-07,1.78,1.9
2022-12-08,1.78,1.9
2022-12-09,1.92,1.77
2022-12-10,2.1,1.64
2022-12-11,2.1,1.64
2022-12-12,2.1,1.64
2022-12-13,2.1,1.64
2022-12-14,2.1,1.64
2022-12-15,2.1,1.64
2022-12-16,2.1,1.64
2022-12-17,2.2,1.58
2022-12-18,2.35,1.51
2022-12-19,2.2,1.58
2022-12-20,2.1,1.64
2022-12-21,1.865,1.875
2022-12-22,1.63,2.11
2022-12-23,1.61,2.15
2022-12-24,1.61,2.15
2022-12-25,1.61,2.15
2022-12-26,1.6,2.16
2022-12-27,1.6,2.16
2022-12-28,1.6,2.16
2022-12-29,1.6,2.16
2022-12-30,1.6,2.16
2022-12-31,1.6,2.16
2023-01-01,1.6,2.16
2023-01-02,1.54,2.29
2023-01-03,1.5,2.38
2023-01-04,1.38,2.76
2023-01-05,1.35,2.89
2023-01-06,1.26,3.41
2023-01-07,1.24,3.57
2023-01-08,1.24,3.57
2023-01-09,1.096,5.8919999999999995
