date,Walker Herschel,Warnock Raphael
2022-11-25,4.7,1.15
2022-11-26,4.6,1.1549999999999998
2022-11-27,4.5,1.16
2022-11-28,4.3,1.17
2022-11-29,4.449999999999999,1.165
2022-11-30,4.6,1.16
2022-12-01,4.6,1.16
