date,An Cailín Ciúin,"Argentina, 1985",Blízko,Na západní frontě klid,Íá
2023-01-31,35.0,10.0,25.0,1.08,6.0
2023-02-01,35.0,10.0,25.0,1.06,7.0
2023-02-02,35.0,10.0,25.0,1.06,7.0
2023-02-04,35.0,10.0,25.0,1.06,7.0
2023-02-07,35.0,10.0,25.0,1.06,7.0
2023-02-08,12.0,10.0,30.0,1.05,12.0
2023-02-09,12.0,10.0,30.0,1.05,12.0
2023-02-10,12.0,10.0,30.0,1.05,12.0
2023-02-14,12.0,10.0,35.0,1.05,11.0
2023-02-15,12.0,10.0,37.5,1.05,11.0
2023-02-17,12.0,10.0,40.0,1.05,11.0
2023-02-19,12.0,10.0,40.0,1.05,11.0
2023-02-20,15.0,11.0,40.0,1.03,12.0
2023-02-21,15.0,11.0,40.0,1.03,12.0
2023-02-22,15.0,11.0,40.0,1.03,12.0
2023-02-23,15.0,11.0,40.0,1.03,12.0
