date,51 a více,Méně než 51
2022-10-17,2.15,1.61
2022-10-18,2.15,1.61
2022-10-19,2.15,1.61
2022-10-20,1.8599999999999999,1.82
2022-10-21,1.75,1.9449999999999998
2022-10-22,1.6,2.16
