date,Gleeson Brendan,Henry Brian Tyree,Hirsch Judd,Keoghan Barry,Quan Ke Huy
2023-01-31,6.5,30.0,35.0,12.0,1.05
2023-02-01,7.0,30.0,35.0,12.0,1.03
2023-02-02,7.0,30.0,35.0,12.0,1.03
2023-02-04,7.0,30.0,35.0,12.0,1.03
2023-02-07,7.0,30.0,35.0,12.0,1.03
2023-02-08,7.0,30.0,35.0,12.0,1.03
2023-02-09,7.0,30.0,35.0,12.0,1.03
2023-02-10,7.0,30.0,35.0,12.0,1.03
2023-02-14,6.0,35.0,40.0,12.0,1.05
2023-02-15,6.0,35.0,40.0,12.0,1.05
2023-02-17,6.0,35.0,40.0,12.0,1.05
2023-02-19,6.0,35.0,40.0,12.0,1.05
2023-02-20,7.0,35.0,40.0,10.0,1.06
2023-02-21,7.0,35.0,40.0,10.0,1.06
2023-02-22,7.0,35.0,40.0,10.0,1.06
2023-02-23,7.0,35.0,40.0,10.0,1.06
2023-02-24,7.0,35.0,40.0,10.0,1.06
2023-02-25,9.0,35.0,40.0,6.5,1.1
2023-02-27,15.0,30.0,30.0,12.0,1.02
2023-03-01,15.0,30.0,30.0,12.0,1.02
2023-03-02,15.0,35.0,30.0,9.0,1.03
2023-03-03,15.0,35.0,30.0,9.0,1.03
