date,Florbalová reprezentace ČR muži,Hokejová reprezentace ČR muži,Hokejová reprezentace ČR ženy
2022-12-02,2.7,1.5,7.0
2022-12-05,3.3,1.3,10.0
2022-12-06,3.4,1.275,10.0
2022-12-07,4.0,1.2,11.0
2022-12-08,4.0,1.2,12.0
2022-12-09,4.0,1.2,12.0
2022-12-10,4.0,1.2,12.0
