date,Field Todd,Kwan Daniel/Scheinert Daniel,McDonagh Martin,Spielberg Steven,Östlund Ruben
2023-01-31,20.0,1.7,12.0,2.0,40.0
2023-02-01,20.0,1.7,12.0,2.0,40.0
2023-02-02,20.0,1.75,12.0,1.9,40.0
2023-02-04,20.0,1.7,12.0,1.95,40.0
2023-02-07,20.0,1.7,12.0,1.95,40.0
2023-02-08,20.0,1.6,13.0,2.1,50.0
2023-02-09,20.0,1.6,13.0,2.1,50.0
2023-02-10,20.0,1.6,13.0,2.1,50.0
2023-02-14,17.0,1.6,13.0,2.1,50.0
2023-02-15,18.5,1.5,13.0,2.275,50.0
2023-02-17,20.0,1.5,13.0,2.3,50.0
2023-02-19,20.0,1.5,13.0,2.3,50.0
2023-02-20,20.0,1.06,17.0,6.0,50.0
