date,Arthaud Nathalie,Dupont-Aignan Nicolas,Hidalgo Anne,Jadot Yannick,Lassalle Jean,Le Pen Marine,Macron Emmanuel,Mélenchon Jean-Luc,Poutou Philippe,Pécresse Valérie,Roussel Fabien,Zemmour Éric
2022-03-29,500.0,350.0,300.0,300.0,350.0,14.75,1.045,50.0,500.0,85.0,300.0,50.0
2022-03-30,500.0,350.0,300.0,300.0,350.0,12.75,1.05,50.0,500.0,95.0,300.0,50.0
2022-03-31,500.0,350.0,300.0,300.0,350.0,10.5,1.06,50.0,500.0,100.0,300.0,50.0
2022-04-01,550.0,375.0,325.0,325.0,375.0,9.375,1.07,52.5,550.0,110.0,325.0,52.5
2022-04-02,600.0,400.0,350.0,350.0,400.0,8.75,1.07,55.0,600.0,120.0,350.0,55.0
2022-04-03,600.0,400.0,350.0,350.0,400.0,8.75,1.07,55.0,600.0,120.0,350.0,55.0
2022-04-04,800.0,500.0,475.0,350.0,425.0,7.875,1.08,62.5,750.0,130.0,400.0,62.5
2022-04-05,1300.0,800.0,800.0,500.0,625.0,5.1,1.14,77.5,1150.0,200.0,625.0,82.5
2022-04-06,1750.0,1050.0,1050.0,675.0,825.0,4.475,1.165,80.0,1450.0,275.0,825.0,90.0
2022-04-07,2000.0,1200.0,1200.0,750.0,900.0,4.25,1.18,80.0,1600.0,300.0,900.0,90.0
2022-04-08,2250.0,1450.0,1450.0,850.0,1050.0,3.95,1.205,92.5,1850.0,450.0,1050.0,100.0
2022-04-09,2400.0,1550.0,1550.0,950.0,1150.0,3.8,1.22,100.0,2000.0,550.0,1150.0,105.0
2022-04-10,2500.0,1600.0,1600.0,1000.0,1200.0,3.75,1.22,115.0,2100.0,600.0,1200.0,120.0
2022-04-11,,,,,,6.02,1.1,,,,,
2022-04-12,,,,,,6.02,1.1,,,,,
2022-04-13,,,,,,5.95,1.11,,,,,
2022-04-14,,,,,,6.265000000000001,1.1,,,,,
2022-04-15,,,,,,7.265000000000001,1.0750000000000002,,,,,
2022-04-16,,,,,,8.25,1.0550000000000002,,,,,
2022-04-17,,,,,,8.25,1.0550000000000002,,,,,
2022-04-18,,,,,,7.95,1.06,,,,,
2022-04-19,,,,,,8.9,1.045,,,,,
2022-04-20,,,,,,10.1,1.03,,,,,
2022-04-21,,,,,,11.45,1.025,,,,,
