date,Bolsonaro Jair,Eymael José Maria,Gomes Ciro,Lula da Silva Luiz Inácio,Manzano Sofia,Péricles Leonardo,Salgado Vera Lúcia,Souza Kelmon,Tebet Simone,Thronicke Soraya,d'Avila Luiz Felipe
2022-09-29,2.9749999999999996,1200.0,500.0,1.335,1200.0,1200.0,1200.0,1200.0,800.0,1200.0,1200.0
2022-09-30,3.0999999999999996,1200.0,500.0,1.3,1200.0,1200.0,1200.0,1200.0,800.0,1200.0,1200.0
2022-10-01,3.225,1200.0,500.0,1.255,1200.0,1200.0,1200.0,1200.0,800.0,1200.0,1200.0
2022-10-02,3.1,1200.0,500.0,1.3,1200.0,1200.0,1200.0,1200.0,800.0,1200.0,1200.0
2022-10-03,3.55,,,1.25,,,,,,,
2022-10-04,3.55,,,1.25,,,,,,,
2022-10-05,3.55,,,1.25,,,,,,,
2022-10-06,3.55,,,1.25,,,,,,,
2022-10-07,3.55,,,1.25,,,,,,,
2022-10-08,3.55,,,1.25,,,,,,,
2022-10-09,3.625,,,1.24,,,,,,,
2022-10-10,3.45,,,1.27,,,,,,,
