date,20876.5 a více,Méně než 20876.5
2022-11-04,1.84,1.84
2022-11-05,1.65,2.08
2022-11-06,1.65,2.08
2022-11-07,1.65,2.08
2022-11-08,1.84,1.84
2022-11-09,2.38,1.5
2022-11-10,2.89,1.35
2022-11-11,3.15,1.3
2022-11-12,3.15,1.3
2022-11-13,3.15,1.3
2022-11-14,3.15,1.3
2022-11-15,3.15,1.3
2022-11-16,3.15,1.3
2022-11-17,3.15,1.3
2022-11-18,3.15,1.3
2022-11-19,3.15,1.3
2022-11-20,3.15,1.3
2022-11-21,3.315,1.275
2022-11-22,3.48,1.25
2022-11-23,3.48,1.25
2022-11-24,3.48,1.25
2022-11-25,3.48,1.25
2022-11-26,3.48,1.25
2022-11-27,3.48,1.25
2022-11-28,3.48,1.25
