date,Javorčíková Diana,Karas Daniel,Minárik Anton,Nosko Ján,Podhorský Peter,Sásik Jozef
2022-10-22,10.0,18.0,400.0,1.05,1000.0,1000.0
2022-10-23,10.0,18.0,400.0,1.05,1000.0,1000.0
