date,Badenoch Kemi,Braverman Suella,Johnson Boris,Mordaunt Penny,Starmer Keir,Sunak Rishi,Wallace Ben
2022-10-20,25.0,,6.5,3.1,,1.7,12.0
2022-10-21,72.5,75.0,3.35,5.75,40.0,1.6,20.0
2022-10-22,100.0,100.0,3.0,8.5,40.0,1.5,
