date,1740.5 a více,Méně než 1740.5
2022-09-15,2.08,1.65
2022-09-16,2.52,1.45
2022-09-17,2.38,1.5
2022-09-18,2.38,1.5
2022-09-19,2.38,1.5
2022-09-20,2.45,1.475
2022-09-21,2.68,1.4
2022-09-22,2.68,1.4
2022-09-23,2.68,1.4
2022-09-24,2.68,1.4
2022-09-25,2.68,1.4
2022-09-26,2.68,1.4
2022-09-27,2.89,1.35
2022-09-28,3.02,1.3250000000000002
2022-09-29,3.15,1.3
2022-09-30,3.15,1.3
2022-10-01,3.15,1.3
2022-10-02,3.15,1.3
2022-10-03,3.15,1.3
2022-10-04,2.6550000000000002,1.4500000000000002
2022-10-05,2.01,1.7
2022-10-06,2.01,1.7
2022-10-07,2.01,1.7
2022-10-08,2.01,1.7
2022-10-09,2.01,1.7
2022-10-10,2.01,1.7
2022-10-11,2.27,1.55
