date,Hlaváček Petr,Hřib Zdeněk,Nacher Patrik,Svoboda Bohuslav,Urban Milan,Čižinský Jan,Šabatová Anna
2022-09-19,80.0,5.0,7.0,1.45,100.0,5.0,100.0
2022-09-20,80.0,5.0,7.0,1.45,100.0,5.0,100.0
