date,AfD,B'90/Grüne,CDU,Die Linke,FDP,SPD
2022-05-13,250.0,75.0,1.23,700.0,250.0,3.5
2022-05-14,500.0,100.0,1.23,1000.0,450.0,3.6
2022-05-15,600.0,120.0,1.17,1200.0,550.0,4.0
