date,EM,Fidesz-KDNP
2022-03-29,3.1399999999999997,1.3050000000000002
2022-03-30,3.66,1.2349999999999999
2022-03-31,4.05,1.19
2022-04-01,4.18,1.18
2022-04-02,4.45,1.16
