date,Baroš Branislav,Bročka Peter,Galbavý Marián,Lančarič Matej,Rosina Zdenko
2022-10-21,5.5,1.165,7.25,16.5,500.0
2022-10-22,7.0,1.1,9.0,17.0,500.0
