id,name,odd,date
1588524365,Ano,5.62,2023-01-24T16:08:18.720378
1588524366,Ne,1.1,2023-01-24T16:08:18.720378
1588524365,Ano,5.62,2023-01-24T19:07:27.126956
1588524366,Ne,1.1,2023-01-24T19:07:27.126956
1588524365,Ano,5.62,2023-01-24T22:07:50.456769
1588524366,Ne,1.1,2023-01-24T22:07:50.456769
1588524365,Ano,5.9,2023-01-25T01:35:08.479062
1588524366,Ne,1.09,2023-01-25T01:35:08.479062
1588524365,Ano,5.9,2023-01-25T04:08:05.190108
1588524366,Ne,1.09,2023-01-25T04:08:05.190108
1588524365,Ano,5.62,2023-01-25T16:08:17.269496
1588524366,Ne,1.1,2023-01-25T16:08:17.269496
1588524365,Ano,5.37,2023-01-25T19:07:25.469167
1588524366,Ne,1.11,2023-01-25T19:07:25.469167
1588524365,Ano,5.62,2023-01-25T22:07:47.546432
1588524366,Ne,1.1,2023-01-25T22:07:47.546432
1588524365,Ano,5.62,2023-01-26T01:35:23.643334
1588524366,Ne,1.1,2023-01-26T01:35:23.643334
1588524365,Ano,5.62,2023-01-26T09:07:44.727609
1588524366,Ne,1.1,2023-01-26T09:07:44.727609
1588524365,Ano,5.62,2023-01-26T12:09:00.156631
1588524366,Ne,1.1,2023-01-26T12:09:00.156631
1588524365,Ano,5.9,2023-01-26T16:08:10.190296
1588524366,Ne,1.09,2023-01-26T16:08:10.190296
1588524365,Ano,5.9,2023-01-26T22:07:45.914357
1588524366,Ne,1.09,2023-01-26T22:07:45.914357
1588524365,Ano,5.9,2023-01-27T01:36:44.693852
1588524366,Ne,1.09,2023-01-27T01:36:44.693852
1588524365,Ano,5.9,2023-01-27T04:07:54.523042
1588524366,Ne,1.09,2023-01-27T04:07:54.523042
