date,title,odds,date_bet,identifier
2017-08-08T18:02:02.543473,0 - 205 švestkových knedlíků,2.00,19.08.2017 10:00,1
2017-08-08T18:02:02.543473,206 a víc švestkových knedlíků,1.70,19.08.2017 10:00,3
2017-08-09T06:02:02.748589,0 - 205 švestkových knedlíků,2.00,19.08.2017 10:00,1
2017-08-09T06:02:02.748589,206 a víc švestkových knedlíků,1.70,19.08.2017 10:00,3
2017-08-09T18:02:02.215349,0 - 205 švestkových knedlíků,2.70,19.08.2017 10:00,1
2017-08-09T18:02:02.215349,206 a víc švestkových knedlíků,1.40,19.08.2017 10:00,3
2017-08-10T06:02:02.013305,0 - 205 švestkových knedlíků,2.70,19.08.2017 10:00,1
2017-08-10T06:02:02.013305,206 a víc švestkových knedlíků,1.40,19.08.2017 10:00,3
2017-08-10T18:02:02.157115,0 - 205 švestkových knedlíků,3.00,19.08.2017 10:00,1
2017-08-10T18:02:02.157115,206 a víc švestkových knedlíků,1.30,19.08.2017 10:00,3
2017-08-11T06:02:02.423545,0 - 205 švestkových knedlíků,3.00,19.08.2017 10:00,1
2017-08-11T06:02:02.423545,206 a víc švestkových knedlíků,1.30,19.08.2017 10:00,3
2017-08-11T18:02:02.264682,0 - 205 švestkových knedlíků,3.00,19.08.2017 10:00,1
2017-08-11T18:02:02.264682,206 a víc švestkových knedlíků,1.30,19.08.2017 10:00,3
2017-08-12T06:02:02.285715,0 - 205 švestkových knedlíků,3.00,19.08.2017 10:00,1
2017-08-12T06:02:02.285715,206 a víc švestkových knedlíků,1.30,19.08.2017 10:00,3
2017-08-12T18:02:02.265887,0 - 205 švestkových knedlíků,3.00,19.08.2017 10:00,1
2017-08-12T18:02:02.265887,206 a víc švestkových knedlíků,1.30,19.08.2017 10:00,3
2017-08-13T06:02:02.654078,0 - 205 švestkových knedlíků,3.00,19.08.2017 10:00,1
2017-08-13T06:02:02.654078,206 a víc švestkových knedlíků,1.30,19.08.2017 10:00,3
2017-08-13T18:02:02.812722,0 - 205 švestkových knedlíků,3.00,19.08.2017 10:00,1
2017-08-13T18:02:02.812722,206 a víc švestkových knedlíků,1.30,19.08.2017 10:00,3
2017-08-14T06:02:02.488556,0 - 205 švestkových knedlíků,3.00,19.08.2017 10:00,1
2017-08-14T06:02:02.488556,206 a víc švestkových knedlíků,1.30,19.08.2017 10:00,3
2017-08-14T18:02:02.420470,0 - 205 švestkových knedlíků,3.00,19.08.2017 10:00,1
2017-08-14T18:02:02.420470,206 a víc švestkových knedlíků,1.30,19.08.2017 10:00,3
2017-08-15T06:02:02.280950,0 - 205 švestkových knedlíků,3.00,19.08.2017 10:00,1
2017-08-15T06:02:02.280950,206 a víc švestkových knedlíků,1.30,19.08.2017 10:00,3
2017-08-15T18:02:02.799794,0 - 205 švestkových knedlíků,3.00,19.08.2017 10:00,1
2017-08-15T18:02:02.799794,206 a víc švestkových knedlíků,1.30,19.08.2017 10:00,3
2017-08-16T06:02:06.617413,0 - 205 švestkových knedlíků,3.00,19.08.2017 10:00,1
2017-08-16T06:02:06.617413,206 a víc švestkových knedlíků,1.30,19.08.2017 10:00,3
2017-08-16T18:02:03.180730,0 - 205 švestkových knedlíků,3.00,19.08.2017 10:00,1
2017-08-16T18:02:03.180730,206 a víc švestkových knedlíků,1.30,19.08.2017 10:00,3
2017-08-17T06:02:02.880121,0 - 205 švestkových knedlíků,3.00,19.08.2017 10:00,1
2017-08-17T06:02:02.880121,206 a víc švestkových knedlíků,1.30,19.08.2017 10:00,3
2017-08-17T18:02:02.792119,0 - 205 švestkových knedlíků,3.00,19.08.2017 10:00,1
2017-08-17T18:02:02.792119,206 a víc švestkových knedlíků,1.30,19.08.2017 10:00,3
2017-08-18T06:02:02.542609,0 - 205 švestkových knedlíků,3.00,19.08.2017 10:00,1
2017-08-18T06:02:02.542609,206 a víc švestkových knedlíků,1.30,19.08.2017 10:00,3
2017-08-18T18:02:02.322780,0 - 205 švestkových knedlíků,2.70,19.08.2017 10:00,1
2017-08-18T18:02:02.322780,206 a víc švestkových knedlíků,1.40,19.08.2017 10:00,3
2017-08-19T06:02:02.971490,0 - 205 švestkových knedlíků,2.40,19.08.2017 10:00,1
2017-08-19T06:02:02.971490,206 a víc švestkových knedlíků,1.50,19.08.2017 10:00,3
