date,id,name,event_name,selection_id,odd
2026-09-23,2717945249,Nemčovská Eva,Vítěz,25-WINNER_NWAY-a,1.82
2026-09-23,2717945248,Horváthová Ľubica,Vítěz,25-WINNER_NWAY-a,9.5
2026-09-23,2717945247,Baroš Branislav,Vítěz,25-WINNER_NWAY-a,1.95
2026-09-23,2717945246,Pullmann Martin,Vítěz,25-WINNER_NWAY-a,6.5
2026-09-23,2717945245,Čajková Andrea,Vítěz,25-WINNER_NWAY-a,10.5
2026-09-23,2717945244,Obselka Jozef,Vítěz,25-WINNER_NWAY-a,22.5
2026-09-22,2717945247,Baroš Branislav,Vítěz,25-WINNER_NWAY-a,2.0
2026-09-22,2717945244,Obselka Jozef,Vítěz,25-WINNER_NWAY-a,20.0
2026-09-22,2717945245,Čajková Andrea,Vítěz,25-WINNER_NWAY-a,10.0
2026-09-22,2717945246,Pullmann Martin,Vítěz,25-WINNER_NWAY-a,6.0
2026-09-22,2717945248,Horváthová Ľubica,Vítěz,25-WINNER_NWAY-a,9.0
2026-09-22,2717945249,Nemčovská Eva,Vítěz,25-WINNER_NWAY-a,1.8
2026-09-21,2717945249,Nemčovská Eva,Vítěz,25-WINNER_NWAY-a,1.8
2026-09-21,2717945248,Horváthová Ľubica,Vítěz,25-WINNER_NWAY-a,9.0
2026-09-21,2717945247,Baroš Branislav,Vítěz,25-WINNER_NWAY-a,2.0
2026-09-21,2717945246,Pullmann Martin,Vítěz,25-WINNER_NWAY-a,6.0
2026-09-21,2717945245,Čajková Andrea,Vítěz,25-WINNER_NWAY-a,10.0
2026-09-21,2717945244,Obselka Jozef,Vítěz,25-WINNER_NWAY-a,20.0
2026-09-20,2717945248,Horváthová Ľubica,Vítěz,25-WINNER_NWAY-a,9.0
2026-09-20,2717945249,Nemčovská Eva,Vítěz,25-WINNER_NWAY-a,1.8
2026-09-20,2717945247,Baroš Branislav,Vítěz,25-WINNER_NWAY-a,2.0
2026-09-20,2717945245,Čajková Andrea,Vítěz,25-WINNER_NWAY-a,10.0
2026-09-20,2717945244,Obselka Jozef,Vítěz,25-WINNER_NWAY-a,20.0
2026-09-20,2717945246,Pullmann Martin,Vítěz,25-WINNER_NWAY-a,6.0
2026-09-19,2717945245,Čajková Andrea,Vítěz,25-WINNER_NWAY-a,10.0
2026-09-19,2717945249,Nemčovská Eva,Vítěz,25-WINNER_NWAY-a,1.8
2026-09-19,2717945248,Horváthová Ľubica,Vítěz,25-WINNER_NWAY-a,9.0
2026-09-19,2717945247,Baroš Branislav,Vítěz,25-WINNER_NWAY-a,2.0
2026-09-19,2717945246,Pullmann Martin,Vítěz,25-WINNER_NWAY-a,6.0
2026-09-19,2717945244,Obselka Jozef,Vítěz,25-WINNER_NWAY-a,20.0
2026-09-18,2717945246,Pullmann Martin,Vítěz,25-WINNER_NWAY-a,6.0
2026-09-18,2717945244,Obselka Jozef,Vítěz,25-WINNER_NWAY-a,20.0
2026-09-18,2717945245,Čajková Andrea,Vítěz,25-WINNER_NWAY-a,10.0
2026-09-18,2717945249,Nemčovská Eva,Vítěz,25-WINNER_NWAY-a,1.8
2026-09-18,2717945247,Baroš Branislav,Vítěz,25-WINNER_NWAY-a,2.0
2026-09-18,2717945248,Horváthová Ľubica,Vítěz,25-WINNER_NWAY-a,9.0
2026-09-17,2717945247,Baroš Branislav,Vítěz,25-WINNER_NWAY-a,2.0
2026-09-17,2717945246,Pullmann Martin,Vítěz,25-WINNER_NWAY-a,6.0
2026-09-17,2717945245,Čajková Andrea,Vítěz,25-WINNER_NWAY-a,10.0
2026-09-17,2717945248,Horváthová Ľubica,Vítěz,25-WINNER_NWAY-a,9.0
2026-09-17,2717945249,Nemčovská Eva,Vítěz,25-WINNER_NWAY-a,1.8
2026-09-17,2717945244,Obselka Jozef,Vítěz,25-WINNER_NWAY-a,20.0
