date,title,odds,date_bet,identifier
2016-12-02T13:02:23.710617,bude Francois Fillon,1.50,21.01.2017 20:00,1
2016-12-02T13:02:23.710617,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-02T13:02:23.710617,nebude F.Fillon ani M.Le Pen,6.00,21.01.2017 20:00,4
2016-12-02T23:02:02.139962,bude Francois Fillon,1.50,21.01.2017 20:00,1
2016-12-02T23:02:02.139962,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-02T23:02:02.139962,nebude F.Fillon ani M.Le Pen,6.00,21.01.2017 20:00,4
2016-12-03T11:02:02.009628,bude Francois Fillon,1.50,21.01.2017 20:00,1
2016-12-03T11:02:02.009628,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-03T11:02:02.009628,nebude F.Fillon ani M.Le Pen,6.00,21.01.2017 20:00,4
2016-12-03T23:02:01.774717,bude Francois Fillon,1.55,21.01.2017 20:00,1
2016-12-03T23:02:01.774717,bude Marine Le Pen,3.35,21.01.2017 20:00,3
2016-12-03T23:02:01.774717,nebude F.Fillon ani M.Le Pen,6.00,21.01.2017 20:00,4
2016-12-04T11:02:02.362063,bude Francois Fillon,1.55,21.01.2017 20:00,1
2016-12-04T11:02:02.362063,bude Marine Le Pen,3.35,21.01.2017 20:00,3
2016-12-04T11:02:02.362063,nebude F.Fillon ani M.Le Pen,6.00,21.01.2017 20:00,4
2016-12-04T23:02:01.769819,bude Francois Fillon,1.55,21.01.2017 20:00,1
2016-12-04T23:02:01.769819,bude Marine Le Pen,3.35,21.01.2017 20:00,3
2016-12-04T23:02:01.769819,nebude F.Fillon ani M.Le Pen,6.00,21.01.2017 20:00,4
2016-12-05T11:02:02.166217,bude Francois Fillon,1.60,21.01.2017 20:00,1
2016-12-05T11:02:02.166217,bude Marine Le Pen,3.25,21.01.2017 20:00,3
2016-12-05T11:02:02.166217,nebude F.Fillon ani M.Le Pen,6.00,21.01.2017 20:00,4
2016-12-05T23:02:01.816170,bude Francois Fillon,1.70,21.01.2017 20:00,1
2016-12-05T23:02:01.816170,bude Marine Le Pen,3.10,21.01.2017 20:00,3
2016-12-05T23:02:01.816170,nebude F.Fillon ani M.Le Pen,5.00,21.01.2017 20:00,4
2016-12-06T11:02:02.536945,bude Francois Fillon,1.70,21.01.2017 20:00,1
2016-12-06T11:02:02.536945,bude Marine Le Pen,3.10,21.01.2017 20:00,3
2016-12-06T11:02:02.536945,nebude F.Fillon ani M.Le Pen,5.00,21.01.2017 20:00,4
2016-12-06T23:02:02.333724,bude Francois Fillon,1.70,21.01.2017 20:00,1
2016-12-06T23:02:02.333724,bude Marine Le Pen,3.10,21.01.2017 20:00,3
2016-12-06T23:02:02.333724,nebude F.Fillon ani M.Le Pen,5.00,21.01.2017 20:00,4
2016-12-07T11:02:02.686085,bude Francois Fillon,1.70,21.01.2017 20:00,1
2016-12-07T11:02:02.686085,bude Marine Le Pen,3.10,21.01.2017 20:00,3
2016-12-07T11:02:02.686085,nebude F.Fillon ani M.Le Pen,5.00,21.01.2017 20:00,4
2016-12-07T23:02:02.067587,bude Francois Fillon,1.70,21.01.2017 20:00,1
2016-12-07T23:02:02.067587,bude Marine Le Pen,3.10,21.01.2017 20:00,3
2016-12-07T23:02:02.067587,nebude F.Fillon ani M.Le Pen,5.00,21.01.2017 20:00,4
2016-12-08T11:02:02.408424,bude Francois Fillon,1.70,21.01.2017 20:00,1
2016-12-08T11:02:02.408424,bude Marine Le Pen,3.10,21.01.2017 20:00,3
2016-12-08T11:02:02.408424,nebude F.Fillon ani M.Le Pen,5.00,21.01.2017 20:00,4
2016-12-08T23:02:01.886330,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-08T23:02:01.886330,bude Marine Le Pen,3.00,21.01.2017 20:00,3
2016-12-08T23:02:01.886330,nebude F.Fillon ani M.Le Pen,5.00,21.01.2017 20:00,4
2016-12-09T11:02:01.755373,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-09T11:02:01.755373,bude Marine Le Pen,3.00,21.01.2017 20:00,3
2016-12-09T11:02:01.755373,nebude F.Fillon ani M.Le Pen,5.00,21.01.2017 20:00,4
2016-12-09T23:02:02.391560,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-09T23:02:02.391560,bude Marine Le Pen,3.00,21.01.2017 20:00,3
2016-12-09T23:02:02.391560,nebude F.Fillon ani M.Le Pen,5.00,21.01.2017 20:00,4
2016-12-10T11:02:01.781558,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-10T11:02:01.781558,bude Marine Le Pen,3.00,21.01.2017 20:00,3
2016-12-10T11:02:01.781558,nebude F.Fillon ani M.Le Pen,5.00,21.01.2017 20:00,4
2016-12-10T23:02:01.969063,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-10T23:02:01.969063,bude Marine Le Pen,3.00,21.01.2017 20:00,3
2016-12-10T23:02:01.969063,nebude F.Fillon ani M.Le Pen,4.50,21.01.2017 20:00,4
2016-12-11T11:02:02.701156,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-11T11:02:02.701156,bude Marine Le Pen,3.00,21.01.2017 20:00,3
2016-12-11T11:02:02.701156,nebude F.Fillon ani M.Le Pen,4.50,21.01.2017 20:00,4
2016-12-11T23:02:02.510844,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-11T23:02:02.510844,bude Marine Le Pen,3.00,21.01.2017 20:00,3
2016-12-11T23:02:02.510844,nebude F.Fillon ani M.Le Pen,4.50,21.01.2017 20:00,4
2016-12-12T11:02:01.746732,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-12T11:02:01.746732,bude Marine Le Pen,3.00,21.01.2017 20:00,3
2016-12-12T11:02:01.746732,nebude F.Fillon ani M.Le Pen,4.50,21.01.2017 20:00,4
2016-12-12T23:02:02.419157,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-12T23:02:02.419157,bude Marine Le Pen,3.00,21.01.2017 20:00,3
2016-12-12T23:02:02.419157,nebude F.Fillon ani M.Le Pen,4.50,21.01.2017 20:00,4
2016-12-13T11:02:01.591408,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-13T11:02:01.591408,bude Marine Le Pen,3.00,21.01.2017 20:00,3
2016-12-13T11:02:01.591408,nebude F.Fillon ani M.Le Pen,4.50,21.01.2017 20:00,4
2016-12-13T23:02:01.584449,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-13T23:02:01.584449,bude Marine Le Pen,3.00,21.01.2017 20:00,3
2016-12-13T23:02:01.584449,nebude F.Fillon ani M.Le Pen,4.50,21.01.2017 20:00,4
2016-12-14T11:02:02.139145,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-14T11:02:02.139145,bude Marine Le Pen,3.00,21.01.2017 20:00,3
2016-12-14T11:02:02.139145,nebude F.Fillon ani M.Le Pen,4.50,21.01.2017 20:00,4
2016-12-14T23:02:02.207391,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-14T23:02:02.207391,bude Marine Le Pen,3.20,21.01.2017 20:00,3
2016-12-14T23:02:02.207391,nebude F.Fillon ani M.Le Pen,4.50,21.01.2017 20:00,4
2016-12-15T11:02:01.704116,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-15T11:02:01.704116,bude Marine Le Pen,3.20,21.01.2017 20:00,3
2016-12-15T11:02:01.704116,nebude F.Fillon ani M.Le Pen,4.50,21.01.2017 20:00,4
2016-12-15T23:02:02.374108,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-15T23:02:02.374108,bude Marine Le Pen,3.20,21.01.2017 20:00,3
2016-12-15T23:02:02.374108,nebude F.Fillon ani M.Le Pen,4.50,21.01.2017 20:00,4
2016-12-16T11:02:01.911324,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-16T11:02:01.911324,bude Marine Le Pen,3.20,21.01.2017 20:00,3
2016-12-16T11:02:01.911324,nebude F.Fillon ani M.Le Pen,4.50,21.01.2017 20:00,4
2016-12-16T23:02:02.054159,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-16T23:02:02.054159,bude Marine Le Pen,3.20,21.01.2017 20:00,3
2016-12-16T23:02:02.054159,nebude F.Fillon ani M.Le Pen,4.50,21.01.2017 20:00,4
2016-12-17T11:02:01.880183,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-17T11:02:01.880183,bude Marine Le Pen,3.20,21.01.2017 20:00,3
2016-12-17T11:02:01.880183,nebude F.Fillon ani M.Le Pen,4.50,21.01.2017 20:00,4
2016-12-17T23:02:01.766498,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-17T23:02:01.766498,bude Marine Le Pen,3.20,21.01.2017 20:00,3
2016-12-17T23:02:01.766498,nebude F.Fillon ani M.Le Pen,4.50,21.01.2017 20:00,4
2016-12-18T11:02:01.913586,bude Francois Fillon,1.75,21.01.2017 20:00,1
2016-12-18T11:02:01.913586,bude Marine Le Pen,3.20,21.01.2017 20:00,3
2016-12-18T11:02:01.913586,nebude F.Fillon ani M.Le Pen,4.50,21.01.2017 20:00,4
2016-12-18T23:02:01.963893,bude Francois Fillon,1.70,21.01.2017 20:00,1
2016-12-18T23:02:01.963893,bude Marine Le Pen,3.20,21.01.2017 20:00,3
2016-12-18T23:02:01.963893,nebude F.Fillon ani M.Le Pen,5.00,21.01.2017 20:00,4
2016-12-19T11:02:01.949644,bude Francois Fillon,1.60,21.01.2017 20:00,1
2016-12-19T11:02:01.949644,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-19T11:02:01.949644,nebude F.Fillon ani M.Le Pen,5.50,21.01.2017 20:00,4
2016-12-19T23:02:02.227437,bude Francois Fillon,1.60,21.01.2017 20:00,1
2016-12-19T23:02:02.227437,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-19T23:02:02.227437,nebude F.Fillon ani M.Le Pen,5.50,21.01.2017 20:00,4
2016-12-20T11:02:02.427683,bude Francois Fillon,1.60,21.01.2017 20:00,1
2016-12-20T11:02:02.427683,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-20T11:02:02.427683,nebude F.Fillon ani M.Le Pen,5.50,21.01.2017 20:00,4
2016-12-20T23:02:01.880613,bude Francois Fillon,1.60,21.01.2017 20:00,1
2016-12-20T23:02:01.880613,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-20T23:02:01.880613,nebude F.Fillon ani M.Le Pen,5.50,21.01.2017 20:00,4
2016-12-21T11:02:02.625677,bude Francois Fillon,1.60,21.01.2017 20:00,1
2016-12-21T11:02:02.625677,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-21T11:02:02.625677,nebude F.Fillon ani M.Le Pen,5.50,21.01.2017 20:00,4
2016-12-21T23:02:01.783050,bude Francois Fillon,1.60,21.01.2017 20:00,1
2016-12-21T23:02:01.783050,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-21T23:02:01.783050,nebude F.Fillon ani M.Le Pen,5.50,21.01.2017 20:00,4
2016-12-22T11:02:01.785906,bude Francois Fillon,1.60,21.01.2017 20:00,1
2016-12-22T11:02:01.785906,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-22T11:02:01.785906,nebude F.Fillon ani M.Le Pen,5.50,21.01.2017 20:00,4
2016-12-22T23:02:01.833804,bude Francois Fillon,1.60,21.01.2017 20:00,1
2016-12-22T23:02:01.833804,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-22T23:02:01.833804,nebude F.Fillon ani M.Le Pen,5.50,21.01.2017 20:00,4
2016-12-23T11:02:01.722708,bude Francois Fillon,1.60,21.01.2017 20:00,1
2016-12-23T11:02:01.722708,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-23T11:02:01.722708,nebude F.Fillon ani M.Le Pen,5.50,21.01.2017 20:00,4
2016-12-23T23:02:01.938542,bude Francois Fillon,1.55,21.01.2017 20:00,1
2016-12-23T23:02:01.938542,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-23T23:02:01.938542,nebude F.Fillon ani M.Le Pen,6.00,21.01.2017 20:00,4
2016-12-24T11:02:02.514628,bude Francois Fillon,1.55,21.01.2017 20:00,1
2016-12-24T11:02:02.514628,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-24T11:02:02.514628,nebude F.Fillon ani M.Le Pen,6.00,21.01.2017 20:00,4
2016-12-24T23:02:01.628217,bude Francois Fillon,1.55,21.01.2017 20:00,1
2016-12-24T23:02:01.628217,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-24T23:02:01.628217,nebude F.Fillon ani M.Le Pen,6.00,21.01.2017 20:00,4
2016-12-25T11:02:02.048584,bude Francois Fillon,1.55,21.01.2017 20:00,1
2016-12-25T11:02:02.048584,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-25T11:02:02.048584,nebude F.Fillon ani M.Le Pen,6.00,21.01.2017 20:00,4
2016-12-25T23:02:02.025374,bude Francois Fillon,1.55,21.01.2017 20:00,1
2016-12-25T23:02:02.025374,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-25T23:02:02.025374,nebude F.Fillon ani M.Le Pen,6.00,21.01.2017 20:00,4
2016-12-26T11:02:02.265391,bude Francois Fillon,1.55,21.01.2017 20:00,1
2016-12-26T11:02:02.265391,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-26T11:02:02.265391,nebude F.Fillon ani M.Le Pen,6.00,21.01.2017 20:00,4
2016-12-26T23:02:01.961729,bude Francois Fillon,1.55,21.01.2017 20:00,1
2016-12-26T23:02:01.961729,bude Marine Le Pen,3.50,21.01.2017 20:00,3
2016-12-26T23:02:01.961729,nebude F.Fillon ani M.Le Pen,6.00,21.01.2017 20:00,4
2016-12-27T11:02:02.173757,bude Francois Fillon,1.50,21.01.2017 20:00,1
2016-12-27T11:02:02.173757,bude Marine Le Pen,3.60,21.01.2017 20:00,3
2016-12-27T11:02:02.173757,nebude F.Fillon ani M.Le Pen,6.50,21.01.2017 20:00,4
2016-12-27T23:02:01.965900,bude Francois Fillon,1.50,21.01.2017 20:00,1
2016-12-27T23:02:01.965900,bude Marine Le Pen,3.60,21.01.2017 20:00,3
2016-12-27T23:02:01.965900,nebude F.Fillon ani M.Le Pen,6.50,21.01.2017 20:00,4
2016-12-28T11:02:02.269947,bude Francois Fillon,1.50,21.01.2017 20:00,1
2016-12-28T11:02:02.269947,bude Marine Le Pen,3.60,21.01.2017 20:00,3
2016-12-28T11:02:02.269947,nebude F.Fillon ani M.Le Pen,6.50,21.01.2017 20:00,4
2016-12-28T23:02:02.398004,bude Francois Fillon,1.50,21.01.2017 20:00,1
2016-12-28T23:02:02.398004,bude Marine Le Pen,3.60,21.01.2017 20:00,3
2016-12-28T23:02:02.398004,nebude F.Fillon ani M.Le Pen,6.50,21.01.2017 20:00,4
2016-12-29T11:02:02.122198,bude Francois Fillon,1.50,21.01.2017 20:00,1
2016-12-29T11:02:02.122198,bude Marine Le Pen,3.60,21.01.2017 20:00,3
2016-12-29T11:02:02.122198,nebude F.Fillon ani M.Le Pen,6.50,21.01.2017 20:00,4
2016-12-29T23:02:01.823220,bude Francois Fillon,1.50,21.01.2017 20:00,1
2016-12-29T23:02:01.823220,bude Marine Le Pen,3.60,21.01.2017 20:00,3
2016-12-29T23:02:01.823220,nebude F.Fillon ani M.Le Pen,6.50,21.01.2017 20:00,4
2016-12-30T23:02:02.480983,bude Francois Fillon,1.55,21.01.2017 20:00,1
2016-12-30T23:02:02.480983,bude Marine Le Pen,3.80,21.01.2017 20:00,3
2016-12-30T23:02:02.480983,nebude F.Fillon ani M.Le Pen,5.50,21.01.2017 20:00,4
2016-12-31T11:02:01.596264,bude Francois Fillon,1.55,21.01.2017 20:00,1
2016-12-31T11:02:01.596264,bude Marine Le Pen,3.80,21.01.2017 20:00,3
2016-12-31T11:02:01.596264,nebude F.Fillon ani M.Le Pen,5.50,21.01.2017 20:00,4
2016-12-31T23:02:02.488078,bude Francois Fillon,1.55,21.01.2017 20:00,1
2016-12-31T23:02:02.488078,bude Marine Le Pen,3.80,21.01.2017 20:00,3
2016-12-31T23:02:02.488078,nebude F.Fillon ani M.Le Pen,5.50,21.01.2017 20:00,4
2017-01-01T11:02:01.923418,bude Francois Fillon,1.55,21.01.2017 20:00,1
2017-01-01T11:02:01.923418,bude Marine Le Pen,3.80,21.01.2017 20:00,3
2017-01-01T11:02:01.923418,nebude F.Fillon ani M.Le Pen,5.00,21.01.2017 20:00,4
2017-01-01T23:02:01.877537,bude Francois Fillon,1.55,21.01.2017 20:00,1
2017-01-01T23:02:01.877537,bude Marine Le Pen,3.80,21.01.2017 20:00,3
2017-01-01T23:02:01.877537,nebude F.Fillon ani M.Le Pen,5.00,21.01.2017 20:00,4
2017-01-02T11:02:02.143574,bude Francois Fillon,1.55,21.01.2017 20:00,1
2017-01-02T11:02:02.143574,bude Marine Le Pen,3.80,21.01.2017 20:00,3
2017-01-02T11:02:02.143574,nebude F.Fillon ani M.Le Pen,5.00,21.01.2017 20:00,4
2017-01-02T23:02:02.102212,bude Francois Fillon,1.55,21.01.2017 20:00,1
2017-01-02T23:02:02.102212,bude Marine Le Pen,4.00,21.01.2017 20:00,3
2017-01-02T23:02:02.102212,nebude F.Fillon ani M.Le Pen,4.70,21.01.2017 20:00,4
2017-01-03T11:02:02.573084,bude Francois Fillon,1.55,21.01.2017 20:00,1
2017-01-03T11:02:02.573084,bude Marine Le Pen,4.00,21.01.2017 20:00,3
2017-01-03T11:02:02.573084,nebude F.Fillon ani M.Le Pen,4.70,21.01.2017 20:00,4
2017-01-03T23:02:01.924710,bude Francois Fillon,1.55,21.01.2017 20:00,1
2017-01-03T23:02:01.924710,bude Marine Le Pen,4.00,21.01.2017 20:00,3
2017-01-03T23:02:01.924710,nebude F.Fillon ani M.Le Pen,4.70,21.01.2017 20:00,4
2017-01-04T11:02:01.816128,bude Francois Fillon,1.55,21.01.2017 20:00,1
2017-01-04T11:02:01.816128,bude Marine Le Pen,4.00,21.01.2017 20:00,3
2017-01-04T11:02:01.816128,nebude F.Fillon ani M.Le Pen,4.70,21.01.2017 20:00,4
2017-01-04T23:02:01.885426,bude Francois Fillon,1.55,21.01.2017 20:00,1
2017-01-04T23:02:01.885426,bude Marine Le Pen,4.00,21.01.2017 20:00,3
2017-01-04T23:02:01.885426,nebude F.Fillon ani M.Le Pen,4.70,21.01.2017 20:00,4
2017-01-05T11:02:02.535744,bude Francois Fillon,1.55,21.01.2017 20:00,1
2017-01-05T11:02:02.535744,bude Marine Le Pen,4.00,21.01.2017 20:00,3
2017-01-05T11:02:02.535744,nebude F.Fillon ani M.Le Pen,4.70,21.01.2017 20:00,4
2017-01-05T23:02:01.857068,bude Francois Fillon,1.55,21.01.2017 20:00,1
2017-01-05T23:02:01.857068,bude Marine Le Pen,4.00,21.01.2017 20:00,3
2017-01-05T23:02:01.857068,nebude F.Fillon ani M.Le Pen,4.70,21.01.2017 20:00,4
2017-01-06T11:02:02.049476,bude Francois Fillon,1.55,21.01.2017 20:00,1
2017-01-06T11:02:02.049476,bude Marine Le Pen,4.00,21.01.2017 20:00,3
2017-01-06T11:02:02.049476,nebude F.Fillon ani M.Le Pen,4.70,21.01.2017 20:00,4
2017-01-06T23:02:01.898527,bude Francois Fillon,1.55,21.01.2017 20:00,1
2017-01-06T23:02:01.898527,bude Marine Le Pen,4.00,21.01.2017 20:00,3
2017-01-06T23:02:01.898527,nebude F.Fillon ani M.Le Pen,4.70,21.01.2017 20:00,4
2017-01-07T11:02:02.466736,bude Francois Fillon,1.55,21.01.2017 20:00,1
2017-01-07T11:02:02.466736,bude Marine Le Pen,4.00,21.01.2017 20:00,3
2017-01-07T11:02:02.466736,nebude F.Fillon ani M.Le Pen,4.70,21.01.2017 20:00,4
2017-01-07T23:02:02.046294,bude Francois Fillon,1.50,21.01.2017 20:00,1
2017-01-07T23:02:02.046294,bude Marine Le Pen,4.00,21.01.2017 20:00,3
2017-01-07T23:02:02.046294,nebude F.Fillon ani M.Le Pen,5.50,21.01.2017 20:00,4
2017-01-08T11:02:01.823994,bude Francois Fillon,1.50,21.01.2017 20:00,1
2017-01-08T11:02:01.823994,bude Marine Le Pen,4.00,21.01.2017 20:00,3
2017-01-08T11:02:01.823994,nebude F.Fillon ani M.Le Pen,5.50,21.01.2017 20:00,4
2017-01-08T23:02:02.486212,bude Francois Fillon,1.50,21.01.2017 20:00,1
2017-01-08T23:02:02.486212,bude Marine Le Pen,4.00,21.01.2017 20:00,3
2017-01-08T23:02:02.486212,nebude F.Fillon ani M.Le Pen,5.50,21.01.2017 20:00,4
2017-01-09T11:02:02.411971,bude Francois Fillon,1.60,21.01.2017 20:00,1
2017-01-09T11:02:02.411971,bude Marine Le Pen,3.60,21.01.2017 20:00,3
2017-01-09T11:02:02.411971,nebude F.Fillon ani M.Le Pen,5.30,21.01.2017 20:00,4
2017-01-09T23:02:02.350291,bude Francois Fillon,1.60,21.01.2017 20:00,1
2017-01-09T23:02:02.350291,bude Marine Le Pen,3.60,21.01.2017 20:00,3
2017-01-09T23:02:02.350291,nebude F.Fillon ani M.Le Pen,5.30,21.01.2017 20:00,4
2017-01-10T11:02:01.732972,bude Francois Fillon,1.60,21.01.2017 20:00,1
2017-01-10T11:02:01.732972,bude Marine Le Pen,3.60,21.01.2017 20:00,3
2017-01-10T11:02:01.732972,nebude F.Fillon ani M.Le Pen,5.30,21.01.2017 20:00,4
2017-01-10T23:02:02.186267,bude Francois Fillon,1.60,21.01.2017 20:00,1
2017-01-10T23:02:02.186267,bude Marine Le Pen,3.60,21.01.2017 20:00,3
2017-01-10T23:02:02.186267,nebude F.Fillon ani M.Le Pen,5.30,21.01.2017 20:00,4
