date,Adamczyk Marek,Adamczyková Eva,Chýlková Ivana,Hradilek Vavřinec,Krajčo Richard,Kubelková Iva,Maršálek Josef,Mašková Tereza Anna,Pavlovičová Darija
2023-10-27,5.0,2.3,25.0,20.0,7.0,2.4,40.0,6.0,8.0
2023-10-28,5.0,2.3,25.0,20.0,7.0,2.4,40.0,6.0,8.0
2023-10-29,5.0,2.3,25.0,20.0,7.0,2.4,40.0,6.0,8.0
