date,Biden Joe,Harris Kamala,Newsom Gavin,Obama Michelle,Phillips Dean
2024-01-24,1.0950000000000002,40.0,17.5,11.0,37.5
2024-01-25,1.1,40.0,18.0,10.0,40.0
2024-01-26,1.1533333333333333,41.666666666666664,17.333333333333332,7.733333333333333,46.666666666666664
2024-01-27,1.2066666666666668,45.0,18.0,6.166666666666667,50.0
2024-01-28,1.22,45.0,18.0,5.5,50.0
2024-01-29,1.2066666666666668,45.0,18.0,5.8999999999999995,50.0
2024-01-30,1.2,45.0,18.0,6.099999999999999,50.0
2024-01-31,1.17,40.0,19.0,6.966666666666666,50.0
2024-02-01,1.17,40.0,19.0,7.0,50.0
2024-02-02,1.17,40.0,19.0,7.0,50.0
2024-02-03,1.17,40.0,19.0,7.0,50.0
2024-02-05,1.17,40.0,20.0,7.0,55.0
2024-02-06,1.17,40.0,20.0,7.0,55.0
2024-02-07,1.17,40.0,20.0,7.0,60.0
2024-02-08,1.17,40.0,20.0,7.0,60.0
2024-02-09,1.33,19.0,11.0,5.5,35.0
2024-02-10,1.33,15.666666666666666,10.666666666666666,6.0,32.666666666666664
2024-02-11,1.3333333333333333,13.666666666666666,9.833333333333334,6.333333333333333,30.0
2024-02-12,1.3333333333333333,14.666666666666666,9.5,6.5,36.666666666666664
2024-02-13,1.33,15.0,9.5,6.5,40.0
2024-02-14,1.3099999999999998,14.333333333333334,9.5,7.166666666666667,43.333333333333336
2024-02-15,1.3,14.0,9.5,7.5,46.666666666666664
2024-02-16,1.3,14.0,9.833333333333334,7.5,50.0
2024-02-17,1.29,14.0,10.333333333333334,7.666666666666667,50.0
2024-02-18,1.2566666666666666,14.0,11.0,8.166666666666666,51.666666666666664
2024-02-19,1.23,14.0,11.0,8.5,55.0
2024-02-20,1.23,14.0,11.0,8.5,55.0
2024-02-21,1.23,14.0,11.0,8.5,55.0
2024-02-22,1.23,14.0,11.166666666666666,8.5,55.0
2024-02-23,1.23,14.0,11.5,8.5,55.0
2024-02-24,1.23,14.0,11.833333333333334,8.5,55.0
