date,Křenková Eliška,Peková Simona,Plodková Jana,Rázlová Regina,Vilhelmová Tatiana
2024-02-04,5.0,1.9,8.0,3.5,3.75
2024-02-05,5.0,1.8,8.0,3.5,4.0
2024-02-06,5.0,1.7333333333333334,8.666666666666666,3.6333333333333333,4.0
2024-02-07,5.0,1.6666666666666667,9.0,3.8000000000000003,4.166666666666667
2024-02-08,5.333333333333333,1.5333333333333332,9.666666666666666,4.0,4.5
2024-02-09,5.5,1.5,10.0,4.0,4.5
2024-02-10,5.5,1.5,10.0,4.0,4.5
2024-02-11,5.5,1.5,10.0,4.0,4.5
2024-02-12,5.5,1.5,10.0,4.0,4.5
2024-02-13,6.333333333333333,1.55,13.333333333333334,3.1666666666666665,5.5
2024-02-14,6.5,1.55,15.0,3.0,6.0
2024-02-15,6.5,1.55,15.0,3.0,6.0
2024-02-16,6.5,1.55,15.0,3.0,6.0
2024-02-17,6.5,1.55,15.0,3.0,6.0
2024-02-18,6.5,1.55,15.0,3.0,6.0
2024-02-19,6.5,1.55,15.0,3.0,6.0
2024-02-20,6.5,1.55,15.0,3.0,6.0
2024-02-21,6.5,1.55,15.0,3.0,6.0
2024-02-22,6.666666666666667,1.55,15.0,3.0,6.0
2024-02-23,7.0,1.55,15.0,3.0,6.0
2024-02-24,7.0,1.55,15.0,3.0,6.0
2024-02-25,7.0,1.55,15.0,3.0,6.333333333333333
2024-02-26,7.0,1.55,15.0,3.0,6.5
2024-02-27,7.0,1.55,15.0,3.0,6.5
2024-02-28,7.0,1.55,15.0,3.0,6.5
