date,Barrino Fantasia,Hüller Sandra,Mulligan Carey,Oparah Vivian,Robbie Margot,Stone Emma
2024-01-28,40.0,2.3,17.0,35.0,30.0,1.5
2024-01-29,40.0,2.5,17.0,35.0,30.0,1.4333333333333333
2024-01-30,40.0,2.6333333333333333,18.0,35.0,30.0,1.3999999999999997
2024-01-31,40.0,2.7000000000000006,20.0,35.0,30.0,1.3999999999999997
2024-02-01,40.0,2.7000000000000006,20.0,35.0,30.0,1.3999999999999997
2024-02-02,40.0,2.7000000000000006,20.0,35.0,30.0,1.3999999999999997
2024-02-03,40.0,2.7000000000000006,20.0,35.0,30.0,1.3999999999999997
2024-02-04,40.0,2.7000000000000006,20.0,35.0,30.0,1.3999999999999997
2024-02-05,40.0,2.7000000000000006,20.0,35.0,30.0,1.3999999999999997
2024-02-06,40.0,2.7000000000000006,20.0,35.0,30.0,1.3999999999999997
2024-02-07,40.0,2.7000000000000006,20.0,35.0,30.0,1.3999999999999997
2024-02-08,40.0,2.7000000000000006,20.0,35.0,30.0,1.3999999999999997
2024-02-09,40.0,2.7000000000000006,20.0,35.0,30.0,1.3999999999999997
2024-02-10,45.0,3.2,22.5,40.0,35.0,1.2999999999999998
2024-02-12,50.0,3.5,25.0,45.0,40.0,1.22
2024-02-13,50.0,3.5,25.0,45.0,40.0,1.22
2024-02-14,50.0,3.5,25.0,45.0,40.0,1.22
2024-02-15,50.0,3.5,25.0,45.0,40.0,1.22
2024-02-16,50.0,3.5,25.0,45.0,40.0,1.22
2024-02-17,50.0,3.5,25.0,45.0,40.0,1.22
2024-02-18,50.0,3.5,25.0,45.0,40.0,1.22
